TP9,AF7,AF8,TP10,Right AUX
59.105,28.32,15.137,12.207,54.199
62.012,30.273,43.945,11.719,79.102
44.922,30.273,-97.656,11.23,32.715
28.809,27.832,-110.352,9.277,29.785
36.156,28.809,-73.242,11.23,50.781
57.617,36.133,-17.09,16.113,37.109
74.219,38.574,42.48,27.832,20.02
57.129,33.691,-30.273,34.18,28.32
23.949,29.785,-101.074,13.184,64.941
20.02,33.203,-92.285,9.277,40.527
41.504,33.203,-24.902,15.625,-0.488
51.758,29.785,68.359,14.16,37.598
47.852,34.18,-29.297,21.973,55.176
34.18,36.133,-122.07,17.578,59.57
33.691,34.668,-84.473,12.207,81.543
52.246,36.133,-20.996,20.508,-8.789
62.012,40.039,21.973,21.973,-58.594
51.781,36.133,-81.055,14.648,-9.277
38.574,34.668,-115.234,16.113,37.598
45.41,44.434,-64.941,21.484,18.555
59.57,41.992,21.973,23.438,21.973
68.359,37.598,62.012,21.484,69.824
63.965,48.34,-47.852,20.508,33.203
52.734,52.246,-147.949,20.02,14.16
58.594,53.223,-100.586,18.555,10.742
69.336,53.711,-47.852,21.484,28.32
74.219,49.316,10.742,25.879,12.695
73.73,47.363,24.414,30.273,41.504
62.012,42.969,-127.441,32.227,83.008
54.199,39.062,-127.93,33.203,85.938
69.336,39.551,-56.152,30.762,62.988
91.309,41.016,34.668,34.18,38.086
95.332,39.551,36.621,37.598,-5.859
71.777,39.062,-101.562,36.133,2.441
72.754,37.109,-107.422,35.156,-1.465
87.891,38.086,-22.461,31.25,1.953
103.027,41.504,39.551,32.715,6.348
102.539,34.668,7.812,34.18,3.418
80.078,38.086,-97.168,36.133,41.016
77.637,50.781,-90.82,44.434,-14.16
94.145,61.523,-24.414,50.781,15.137
107.91,66.406,32.227,58.105,87.891
107.91,60.547,51.758,56.152,77.637
96.68,62.012,-34.668,48.828,53.711
86.426,69.336,-73.242,46.875,19.043
82.379,64.453,-64.453,42.48,32.227
105.957,62.012,-4.883,43.945,65.43
113.77,69.336,81.543,49.805,25.391
98.145,70.801,-29.297,55.664,28.32
83.008,64.941,-80.078,49.316,57.129
89.844,62.012,-66.406,40.039,16.602
107.422,62.5,15.625,42.969,9.766
110.352,54.688,41.016,45.898,-4.395
88.379,46.387,-95.215,38.086,-34.668
63.477,41.504,-116.211,32.715,-6.836
64.941,37.598,-58.594,29.785,-8.789
85.449,33.203,-23.438,28.32,-36.621
88.379,29.785,41.016,30.762,-45.898
72.754,28.809,-20.02,26.855,-12.695
64.941,28.32,-128.906,21.973,25.879
60.547,21.973,-99.121,18.555,60.059
62.5,20.02,-14.16,14.648,80.566
72.754,22.461,28.32,16.602,30.762
58.105,19.043,-50.293,15.137,2.93
40.527,16.113,-156.25,11.719,-30.762
47.363,18.066,-117.188,10.742,-30.762
57.617,17.09,-49.316,6.836,22.949
69.824,16.602,20.996,10.742,-0.488
70.312,18.066,34.18,15.625,-2.93
53.223,20.996,-94.727,14.648,37.109
45.41,17.578,-109.863,14.648,19.043
57.617,17.09,-26.855,14.648,2.441
71.289,23.438,41.992,20.508,42.48
67.871,22.461,-21.484,19.043,7.324
44.434,24.414,-111.328,13.672,-14.648
34.668,31.25,-91.797,9.277,60.059
54.688,31.25,-51.758,7.812,52.734
67.871,27.344,11.719,9.766,24.414
62.012,21.484,13.184,7.324,57.617
45.41,25.391,-75.684,9.766,66.895
35.645,34.668,-102.539,12.207,38.574
40.039,32.715,-83.008,8.789,41.016
55.664,31.25,7.324,12.207,37.109
60.547,35.156,36.621,17.578,36.133
46.387,33.691,-109.863,13.184,-17.09
31.25,29.297,-94.727,0.977,-75.195
36.133,30.273,-49.805,4.395,75.195
58.594,32.227,-0.488,13.672,134.766
63.965,24.902,56.641,25.391,32.227
57.129,20.508,-97.168,35.645,-3.906
44.922,33.203,-113.77,19.043,23.438
44.434,40.039,-45.898,0.977,28.809
66.895,39.062,28.32,4.883,0.488
79.102,39.551,49.805,11.23,-5.859
67.871,39.551,-58.105,7.324,46.387
59.082,42.48,-107.91,12.207,80.566
69.824,41.504,-84.473,20.508,73.73
91.309,41.992,-15.137,27.344,52.734
92.773,43.457,63.477,28.809,48.828
74.219,38.574,-8.789,21.973,47.852
71.289,35.156,-108.398,29.297,89.844
80.566,33.691,-100.098,41.016,43.945
93.262,28.809,-30.762,40.039,6.836
95.703,28.809,61.523,40.527,45.898
89.844,30.762,9.277,43.945,56.152
75.684,29.785,-115.723,40.039,20.996
74.707,35.645,-86.426,39.062,0.488
89.355,33.691,12.695,41.504,3.906
91.309,26.855,66.406,41.504,0
90.332,26.367,-8.789,38.086,32.715
79.102,28.809,-115.234,32.227,12.695
67.871,27.344,-75.195,26.367,37.598
76.172,27.344,4.883,26.367,15.137
92.285,27.344,36.621,31.738,-41.992
91.309,24.414,-2.441,33.203,-43.945
70.312,21.484,-76.66,29.785,-34.668
66.895,22.949,-63.477,31.25,-74.219
72.266,24.902,-48.828,33.691,-42.969
77.637,23.926,38.086,32.715,28.809
74.219,24.414,73.242,31.25,17.09
58.594,26.855,-85.938,31.738,-5.859
48.828,24.902,-82.52,30.762,25.391
56.152,24.902,-26.367,30.273,36.621
84.473,25.879,50.781,38.086,27.832
84.473,23.926,26.855,40.039,10.254
61.523,21.484,-95.703,32.715,-29.297
57.129,21.973,-71.289,27.344,0.977
63.965,25.391,-25.879,25.879,24.414
81.543,22.949,53.223,31.25,48.828
89.355,21.484,123.047,38.086,107.422
75.684,27.344,-47.363,39.551,77.637
64.941,26.367,-94.238,33.203,71.289
69.824,24.414,-65.43,27.832,52.734
86.914,28.32,19.043,31.25,30.762
88.867,26.367,61.035,30.762,47.852
67.383,31.25,-37.109,31.738,43.457
50.781,28.809,-95.703,27.832,54.688
54.199,17.09,-98.633,20.02,-9.766
71.289,19.531,25.391,22.949,43.457
73.242,18.066,80.078,24.902,69.824
55.176,15.137,-12.207,22.949,41.504
47.852,19.531,-59.57,22.949,77.148
54.199,22.461,-73.73,24.414,13.672
73.242,22.461,16.602,31.25,-15.137
83.496,18.555,86.914,45.41,29.297
71.777,13.184,-19.043,51.758,44.434
47.852,25.391,-85.449,34.668,17.09
36.621,35.156,-28.809,20.02,12.207
62.5,31.738,49.805,27.832,68.848
92.773,39.062,68.359,41.504,28.809
84.961,39.062,34.18,41.992,-25.879
63.965,33.691,-22.461,35.156,-4.883
66.406,39.551,-6.836,37.598,41.992
80.078,38.574,0,36.621,60.547
97.168,32.227,102.051,37.109,31.738
100.586,32.715,127.441,43.457,-20.02
79.102,32.715,-19.043,37.598,-21.973
71.289,33.691,-1.465,35.645,46.387
83.008,36.133,58.105,33.691,67.871
93.262,35.156,136.719,36.621,5.859
90.332,28.32,84.961,39.062,31.738
72.754,29.297,-71.289,33.691,31.25
65.43,36.621,-22.949,31.25,-8.301
85.449,31.25,23.438,31.738,12.695
106.934,27.832,92.285,36.133,75.684
107.422,30.762,117.188,38.574,2.93
91.309,31.25,-20.508,36.621,-56.152
79.102,30.762,-37.598,31.25,50.781
88.867,34.668,-25.879,34.18,27.344
98.633,28.809,66.895,37.109,3.906
96.68,27.832,65.43,39.062,23.926
85.938,36.621,-37.109,39.062,51.758
65.918,34.18,-72.754,35.156,59.57
76.172,36.621,-53.223,36.621,20.508
98.145,39.551,68.848,38.574,-0.488
105.957,41.504,83.984,41.504,-20.996
102.539,43.457,-34.18,41.016,-11.23
87.402,41.992,-66.895,37.109,23.926
86.426,45.898,-60.059,34.668,-12.695
102.539,47.852,15.137,36.133,18.066
104.492,45.898,99.121,36.133,24.414
97.656,48.34,13.184,37.109,-17.578
84.961,47.852,-75.684,37.598,51.27
76.66,41.016,-55.176,29.297,55.176
90.82,33.203,51.27,32.715,-8.301
100.098,28.809,70.801,42.969,-41.016
95.215,30.273,13.672,45.41,23.926
90.332,37.598,-46.875,52.734,62.988
79.102,37.598,-26.855,43.945,36.621
80.566,34.18,-4.883,24.902,43.945
94.238,36.133,67.383,29.297,60.059
85.449,38.086,28.809,28.809,18.555
74.707,42.48,-81.055,26.855,-25.391
76.66,44.922,-40.039,30.273,0.977
95.703,47.363,50.293,32.715,14.648
106.445,47.852,109.375,37.598,34.668
101.074,48.828,14.648,36.133,23.926
89.844,48.828,-104.492,33.203,-7.324
79.102,46.387,-53.223,31.738,14.16
87.891,48.34,57.129,36.133,15.625
100.586,45.898,120.117,39.551,38.086
95.703,45.41,51.27,39.062,75.195
82.52,48.828,-76.66,37.109,-17.09
73.242,47.852,-30.762,30.762,-39.551
80.078,49.316,-20.02,31.738,-2.441
87.402,48.828,51.758,35.645,-1.465
80.078,48.828,86.914,32.227,-16.602
65.43,54.199,-42.48,32.227,-38.574
54.688,48.828,-48.828,25.879,13.184
63.965,46.875,-49.316,23.926,38.086
79.59,51.27,67.383,27.832,45.898
79.59,49.316,102.539,31.738,42.969
66.895,51.27,-38.574,31.738,41.016
53.223,50.293,-38.086,17.09,25.391
56.641,45.41,-21.484,15.625,34.668
72.266,46.387,50.293,26.855,24.902
77.148,49.316,71.777,27.832,-66.406
59.57,43.457,-34.668,25.391,-45.41
47.852,41.016,-69.336,24.902,-23.926
51.27,41.016,-38.086,27.344,-25.391
64.941,37.598,42.969,33.691,15.625
73.242,38.574,51.27,33.691,29.785
65.43,38.086,-9.277,32.715,91.797
57.617,38.574,-38.086,30.762,109.375
62.5,41.504,-60.059,31.25,-4.395
77.637,37.109,-2.93,38.086,-22.461
90.332,32.715,88.867,45.898,44.434
80.078,36.133,33.691,47.852,29.297
54.688,41.504,-56.641,38.086,-2.441
43.945,36.621,-43.945,31.738,-18.555
71.777,35.645,47.363,37.109,-4.883
100.098,41.992,107.91,40.527,19.043
96.191,42.969,3.418,36.621,20.508
81.543,44.922,-87.402,36.621,56.152
76.66,43.945,-9.766,40.527,78.613
95.703,46.875,14.16,37.598,5.371
108.398,47.363,90.332,29.297,-36.133
96.191,43.945,97.656,29.297,15.137
76.172,42.969,-38.574,30.273,71.777
66.406,41.016,-33.203,21.973,80.078
76.66,39.062,5.371,20.02,63.477
86.426,35.645,76.66,22.461,19.043
74.219,32.227,64.941,19.043,27.832
57.129,33.203,-58.105,19.531,41.016
79.59,55.176,-37.598,37.598,36.133
94.727,60.059,-9.277,41.504,66.406
83.984,47.363,68.848,30.273,-12.207
76.172,43.457,97.656,27.344,-31.738
67.383,40.039,-41.504,21.484,16.113
53.223,36.133,-46.387,19.043,-11.719
56.152,34.668,-14.16,20.508,11.23
67.383,34.668,53.223,24.414,44.922
65.918,31.738,66.406,30.762,13.672
45.898,25.879,-58.105,29.785,22.949
33.691,31.25,-83.008,28.32,37.598
41.992,38.086,-13.184,28.809,110.84
54.199,37.109,52.734,24.414,94.238
55.176,36.133,24.414,25.391,1.465
45.41,37.598,-57.617,29.297,-16.602
40.039,39.062,-34.18,19.043,27.832
45.41,36.621,-44.922,10.742,69.336
63.477,36.133,8.301,17.578,-6.836
72.754,38.574,80.566,17.578,-41.016
61.035,42.48,-30.273,11.23,-18.066
43.457,40.527,-66.895,6.348,20.996
36.133,41.016,-64.453,1.465,0
44.922,33.203,6.836,8.301,-0.488
59.082,20.996,117.676,16.602,44.434
50.293,28.809,-11.719,9.277,20.02
32.227,33.203,-114.258,-3.418,76.172
43.945,36.621,-59.082,-5.371,94.238
73.73,38.086,57.129,-0.488,58.594
86.426,39.551,85.449,3.906,4.883
67.871,41.504,-33.203,4.883,-12.207
48.34,43.457,-102.051,0.977,-3.418
39.551,39.551,-52.246,-9.277,-24.902
42.48,32.715,-8.789,-12.695,37.109
52.734,34.18,47.852,-12.695,46.387
45.41,35.156,0.488,-11.23,-16.113
24.902,32.227,-118.164,-4.395,-17.09
24.902,34.668,-94.238,-6.836,0
41.504,36.621,-54.688,-3.906,58.105
60.059,37.109,47.363,2.93,86.914
62.988,39.551,29.785,6.348,31.25
42.48,39.551,-95.703,3.906,-1.953
32.227,43.945,-68.359,6.836,37.598
49.805,46.875,-14.648,18.066,17.578
68.359,41.504,54.688,20.996,-19.043
70.801,40.527,19.531,14.648,33.203
47.852,39.551,-65.918,10.254,63.965
35.156,41.016,-78.613,12.695,83.984
50.781,46.387,-22.461,9.277,70.801
63.477,42.969,54.688,5.859,60.547
61.035,37.598,3.906,12.207,42.48
45.898,41.992,-47.363,10.742,56.641
36.133,39.062,-45.41,-4.395,60.059
38.574,36.133,-63.477,-11.23,58.105
48.828,36.621,20.996,-4.395,32.715
62.988,36.133,61.523,2.441,68.359
51.758,36.621,-90.332,7.324,35.156
36.621,35.645,-70.801,2.441,-16.113
51.27,38.574,-64.941,-1.465,39.551
65.918,41.016,-17.09,7.324,-25.391
63.965,40.527,106.445,10.742,-36.621
54.688,39.062,-37.598,6.348,-8.789
43.457,36.621,-127.441,4.395,-58.594
50.293,38.574,-42.969,4.883,-46.875
67.383,38.086,18.555,0.488,23.926
75.684,37.598,93.262,0.488,24.902
71.289,35.645,23.438,0,72.754
62.012,34.668,-104.492,-3.906,29.785
59.082,38.086,-54.688,-4.883,-4.395
65.918,35.645,35.645,-4.883,49.805
76.66,37.109,81.055,-0.488,110.352
68.848,44.922,-7.812,5.371,80.078
58.594,49.316,-74.219,5.371,42.969
55.176,46.387,-78.613,0.977,20.02
59.082,44.434,-5.371,4.395,-32.227
63.965,48.828,102.051,12.695,20.508
58.105,52.246,14.16,20.02,-13.672
45.41,46.875,-74.707,16.113,27.832
39.551,42.48,-99.121,10.742,31.738
57.129,44.434,-28.809,15.137,24.414
69.336,41.992,57.129,17.578,60.059
60.547,41.016,-8.789,11.719,30.762
44.434,41.504,-118.652,6.836,0
38.086,45.41,-96.68,5.371,33.203
46.387,44.434,-57.617,5.371,61.523
57.129,41.016,33.691,4.395,4.883
59.082,44.922,24.902,2.93,55.176
50.781,48.34,-108.887,-0.488,44.434
45.41,48.828,-57.617,2.441,26.367
45.898,45.898,-58.594,1.465,24.414
64.941,45.898,20.508,3.906,-43.457
72.754,50.293,104.004,8.301,-16.602
47.852,48.828,-54.199,5.859,65.43
37.109,46.387,-94.238,1.465,68.359
44.922,46.387,-28.809,-0.488,96.68
65.918,48.34,51.27,3.906,63.477
65.918,46.875,53.711,5.371,56.152
46.387,48.828,-77.637,-0.488,80.566
44.922,48.828,-108.398,-3.906,46.387
52.246,44.434,-44.434,-2.441,16.602
64.453,43.457,62.988,1.465,51.758
68.359,43.457,118.652,6.836,59.082
58.105,45.898,-42.969,10.254,-15.625
50.781,43.945,-98.633,13.672,10.742
50.293,39.551,-53.223,12.695,28.32
61.035,40.039,42.48,17.09,35.156
67.383,37.598,61.035,24.902,36.621
55.664,38.086,-47.852,28.32,6.836
39.062,39.062,-83.984,24.414,32.715
43.457,40.039,-70.801,20.996,45.41
64.453,41.504,-2.93,20.996,4.883
72.754,38.574,87.402,19.043,46.387
80.078,47.363,3.418,29.785,34.18
76.172,53.711,-109.375,42.48,-41.016
42.48,41.016,-46.875,17.09,-8.789
40.527,35.645,0.977,1.953,20.996
61.523,42.969,74.707,13.184,16.602
60.547,41.016,39.062,15.137,24.414
56.152,33.203,-92.773,20.508,26.855
45.898,29.297,-68.359,20.02,7.812
47.363,25.879,12.207,18.555,-44.434
63.965,29.785,76.172,21.973,-5.371
55.664,30.762,-21.973,17.578,61.523
36.621,31.738,-92.773,14.16,-0.488
32.227,34.668,-36.133,14.16,13.672
45.41,33.203,-46.387,13.672,37.598
65.43,31.25,44.434,17.578,31.25
58.594,34.668,58.594,18.555,38.574
43.945,37.598,-86.426,17.09,41.504
42.969,39.551,-62.012,13.184,37.109
46.875,45.41,-9.766,12.695,27.344
55.664,52.246,55.176,18.066,-0.977
56.641,52.734,50.293,15.137,4.395
43.945,52.734,-71.289,11.23,35.156
33.691,56.152,-89.355,11.719,-4.395
35.156,53.711,-9.766,6.348,9.766
52.246,53.223,90.332,5.859,59.57
62.5,56.152,120.605,11.719,23.926
48.34,51.27,-24.414,9.766,-28.32
38.086,49.805,-38.086,5.859,40.527
41.016,45.41,-7.812,7.324,89.844
56.641,46.387,61.523,16.602,57.617
65.43,50.781,54.688,20.508,-26.367
48.828,46.387,-25.391,13.184,-77.148
35.156,45.41,-49.316,8.301,-67.383
40.527,44.922,-22.461,7.812,-1.953
49.805,41.992,48.828,8.789,71.777
53.223,41.016,65.43,14.648,27.832
40.039,41.504,1.953,14.16,-5.859
31.738,46.875,-31.25,14.648,11.23
42.969,52.734,-23.926,19.531,51.758
50.781,46.387,8.789,11.23,75.195
56.152,41.992,93.262,12.695,39.062
44.434,42.48,19.043,20.02,-4.883
22.461,39.551,-53.711,14.648,-5.371
16.602,35.645,-23.926,11.719,26.367
34.18,36.621,42.48,16.602,79.59
54.688,41.992,66.406,19.531,50.781
49.805,42.969,-5.859,19.043,15.625
34.18,41.016,-51.27,11.23,56.641
28.809,39.062,-12.695,3.418,19.531
55.176,53.223,6.836,18.555,27.832
78.613,68.359,99.121,34.18,42.969
68.848,63.965,100.586,29.785,40.527
47.852,61.523,-48.828,20.508,59.082
35.156,58.594,-52.246,9.766,21.973
55.176,56.641,38.086,15.137,-19.531
71.289,55.664,114.746,20.02,-26.367
52.246,48.34,46.387,12.695,6.836
36.133,50.781,-62.5,18.066,21.484
29.297,49.316,-71.289,5.859,40.039
33.691,42.969,3.906,-4.395,40.039
52.246,42.48,102.051,4.395,41.992
46.875,43.945,64.941,4.883,29.785
36.621,44.434,-39.551,5.859,68.848
27.832,38.574,-45.41,1.465,90.82
22.461,35.645,-51.758,-1.465,47.363
42.48,37.109,46.387,4.883,20.02
51.758,36.621,117.676,8.301,46.387
35.645,35.645,-35.156,5.371,34.668
29.297,34.18,-66.406,2.93,38.574
39.062,43.945,-26.367,12.207,31.25
71.289,64.453,68.359,32.715,-17.578
106.445,88.379,125.488,56.152,-26.367
91.309,97.168,61.523,60.547,-19.043
50.781,70.801,-13.672,35.645,27.832
39.551,53.711,-44.434,12.695,17.578
52.734,52.246,62.012,5.371,-17.09
64.941,54.199,113.281,11.719,42.48
54.199,50.781,-33.691,10.254,68.848
27.832,44.922,-87.402,-1.953,21.973
24.414,44.434,-62.5,-3.906,29.297
32.715,40.039,0,-6.836,25.879
40.039,38.574,103.027,-3.418,16.602
38.574,48.34,-22.461,10.254,41.016
25.879,57.129,-67.871,10.742,-7.812
29.297,59.57,10.742,12.695,5.859
45.41,58.594,3.906,20.02,30.273
