TP9,AF7,AF8,TP10,Right AUX
13.672,35.645,32.227,5.371,25.391
21.484,30.762,24.902,14.16,15.137
33.203,29.785,29.297,19.043,20.996
24.902,29.785,31.25,19.531,28.32
16.113,32.227,27.832,19.531,14.16
15.625,33.691,19.531,21.484,10.742
27.344,34.18,22.461,20.996,48.828
36.621,31.738,21.973,19.043,46.387
26.855,34.18,11.719,16.113,59.082
19.043,37.109,15.625,11.23,79.102
19.043,34.18,17.578,15.137,32.715
25.879,27.344,19.043,25.391,28.32
46.875,31.25,31.738,34.18,38.574
60.059,51.27,44.434,44.922,19.531
58.105,56.641,51.758,56.641,46.387
54.688,53.711,50.293,53.223,52.734
56.641,53.711,45.898,46.387,8.301
68.359,48.34,48.34,51.758,11.23
65.918,43.457,51.27,47.852,13.184
56.152,43.457,51.27,43.457,-30.273
46.387,36.621,47.852,40.039,-6.836
42.969,33.203,43.457,34.18,1.953
60.547,40.527,46.875,34.18,38.574
58.594,42.48,45.898,33.203,75.684
40.527,44.922,36.621,33.691,33.691
40.039,44.922,26.367,30.762,1.953
43.945,41.016,26.367,25.391,-30.273
51.27,40.039,34.668,32.715,-39.062
55.176,41.016,32.715,31.738,17.578
45.41,43.457,29.785,26.855,20.508
35.156,43.457,32.227,28.809,17.578
32.715,46.387,32.715,21.484,16.602
41.504,53.223,38.574,20.02,27.344
45.41,50.293,29.785,21.973,16.602
29.785,45.898,25.879,20.508,7.324
20.508,43.457,30.273,23.438,59.082
23.438,40.039,26.855,20.996,109.375
31.25,38.574,24.414,18.066,78.125
31.25,33.203,27.832,18.555,54.688
22.461,33.691,33.203,13.672,58.105
11.719,37.598,25.879,9.766,56.641
11.23,32.715,22.461,13.184,74.219
25.391,33.203,35.156,21.484,55.176
33.691,36.621,35.645,28.32,12.207
27.832,34.668,30.762,27.832,34.668
18.066,29.785,34.668,18.555,12.207
16.113,24.902,33.691,16.113,-21.484
25.391,24.902,32.715,21.484,30.762
36.621,26.367,27.832,20.508,28.809
33.203,27.344,27.344,20.996,19.531
23.926,26.855,36.621,22.949,-4.395
16.113,28.32,35.156,16.113,45.41
34.18,34.668,30.762,19.043,77.148
47.363,35.645,31.738,25.879,38.086
35.156,31.25,22.461,24.902,-10.254
26.855,26.367,18.555,20.02,13.672
22.461,24.902,18.066,20.996,10.742
23.926,23.438,21.973,20.02,-6.836
30.762,23.926,26.367,17.09,65.918
27.832,26.367,22.461,21.484,62.988
22.461,24.414,27.344,24.902,21.484
23.926,22.461,26.855,31.738,16.602
29.785,20.996,25.391,32.715,7.812
41.992,18.066,31.738,24.902,-1.465
41.504,18.555,34.668,20.996,-28.32
24.902,24.414,27.344,20.508,7.324
14.16,27.344,20.02,15.625,36.621
14.16,27.344,24.902,15.625,37.598
29.297,30.273,31.738,25.391,21.484
34.668,31.738,20.02,24.414,21.484
20.02,31.25,16.113,11.719,34.668
9.277,29.785,28.32,15.137,38.086
13.184,27.832,33.691,22.461,66.406
29.297,28.809,35.645,22.949,61.035
31.738,30.273,36.133,22.461,22.461
20.508,26.367,40.039,20.996,47.363
16.602,21.484,33.203,15.137,49.316
14.648,20.02,27.832,11.719,34.668
20.508,20.02,34.18,8.789,7.812
29.785,27.344,33.203,13.672,-1.953
18.555,31.25,31.738,18.555,-20.508
5.371,26.855,30.762,19.043,-5.371
0.488,24.902,32.715,18.066,52.734
10.254,26.367,34.668,16.113,19.531
20.996,20.508,30.273,19.043,8.301
8.789,18.555,30.762,16.602,8.789
5.859,24.902,40.039,17.578,14.16
11.23,25.391,34.18,17.09,33.691
22.461,28.809,25.391,12.695,12.695
36.133,29.785,20.02,18.555,30.762
26.367,29.785,19.531,23.926,5.859
15.625,32.227,31.738,19.531,28.32
12.207,29.785,32.715,15.137,67.383
17.09,25.879,31.25,22.949,75.195
29.297,25.391,35.156,31.738,112.305
29.297,29.785,33.691,33.203,74.219
23.438,31.25,28.809,31.25,77.637
21.484,32.227,26.367,31.25,73.73
28.32,34.18,25.879,25.391,6.836
43.945,31.25,29.785,23.438,6.348
41.504,31.25,35.645,31.738,20.508
28.809,30.762,37.109,35.156,2.441
21.484,31.25,37.109,32.715,6.348
22.949,32.715,36.621,24.414,94.727
39.551,30.762,32.715,23.926,128.418
41.504,27.832,27.344,18.555,78.125
28.809,28.32,24.902,14.648,68.359
24.414,26.855,12.695,17.578,12.695
24.902,23.438,7.812,18.555,10.254
40.039,23.926,11.23,21.484,44.434
49.316,24.902,10.742,20.508,51.758
32.715,25.879,14.16,18.066,55.664
18.555,22.949,13.184,19.043,8.789
21.973,21.973,12.695,17.578,-8.789
33.691,24.414,19.043,18.555,12.695
