TP9,AF7,AF8,TP10,Right AUX
9.766,19.531,21.484,-42.969,47.852
23.926,15.137,22.949,-39.062,0
47.852,17.578,21.973,-35.645,28.809
38.574,22.461,14.648,-39.062,77.637
20.996,26.367,12.207,-39.551,62.012
-1.953,21.973,19.043,-42.48,1.953
-3.418,14.16,23.926,-48.828,10.742
31.738,16.602,29.785,-41.504,44.434
37.598,21.484,34.18,-33.203,77.148
21.973,20.996,25.879,-37.109,46.875
4.395,21.484,19.043,-45.898,44.922
5.859,19.043,18.555,-46.875,1.465
36.621,16.113,19.531,-36.621,-6.348
40.039,12.695,18.066,-30.762,51.758
23.438,11.719,15.137,-28.809,49.805
10.742,15.137,8.789,-32.227,28.32
8.789,13.184,10.742,-38.574,45.41
34.18,12.207,14.16,-38.574,19.043
40.527,16.602,10.742,-33.203,33.203
28.809,20.02,3.906,-32.227,27.344
18.066,26.367,6.348,-36.133,1.465
11.719,28.32,12.207,-35.156,-17.578
34.18,26.367,18.066,-34.18,-20.996
38.574,25.879,21.484,-33.203,62.5
23.438,27.832,18.066,-27.344,41.016
11.23,25.391,14.16,-29.297,29.297
3.418,23.438,11.23,-32.715,35.645
24.414,26.855,9.766,-28.32,-2.93
35.645,25.391,10.742,-27.832,-21.484
20.508,23.926,12.207,-33.691,2.441
5.371,24.902,12.695,-37.109,10.254
-4.883,25.391,11.23,-39.551,29.297
15.137,22.461,13.184,-40.527,28.32
33.691,22.461,21.484,-35.645,-11.23
28.809,22.949,22.461,-34.668,39.062
16.113,21.484,18.066,-40.039,15.137
-0.977,18.555,20.02,-44.434,24.414
12.695,17.578,24.414,-41.016,62.5
32.715,15.137,26.367,-33.691,46.875
25.879,12.207,27.344,-33.691,58.105
18.555,16.113,23.438,-33.691,54.199
7.324,17.09,16.113,-28.809,67.871
21.973,17.09,14.16,-24.902,55.176
49.805,22.461,15.137,-21.484,85.449
38.574,20.02,14.648,-20.508,61.523
20.508,15.137,19.043,-22.949,39.062
7.812,12.695,20.996,-22.949,7.812
17.09,17.09,21.484,-23.926,-56.152
41.016,24.414,21.973,-24.902,31.738
41.504,23.926,20.02,-21.484,44.922
30.273,23.926,20.996,-23.438,-24.414
9.277,23.438,23.438,-31.738,-44.922
12.207,22.949,26.855,-34.18,-53.223
40.527,26.367,34.668,-27.832,-72.266
41.504,26.855,34.18,-24.902,-4.883
23.438,21.973,30.273,-26.855,29.785
1.465,16.113,26.855,-31.25,-2.441
1.953,16.113,23.438,-35.156,15.625
29.297,18.555,24.902,-36.621,50.781
33.203,13.184,22.461,-34.668,2.441
20.508,14.648,16.602,-32.227,-4.883
5.371,17.09,7.812,-39.062,39.551
4.395,11.719,3.906,-41.504,20.996
26.367,12.207,8.789,-37.598,2.441
31.738,16.602,10.254,-33.203,-49.316
22.949,17.09,15.625,-32.227,-36.133
11.23,15.137,21.484,-31.738,29.785
7.812,13.672,20.508,-31.25,31.25
32.715,18.555,18.066,-32.715,45.41
44.434,21.973,14.16,-33.203,84.473
31.25,20.02,16.113,-37.109,90.332
8.789,19.531,20.996,-43.457,28.809
-1.465,20.508,18.555,-47.363,26.367
20.996,20.996,15.625,-49.805,62.012
31.25,19.043,17.09,-42.969,57.617
18.555,18.555,11.719,-41.016,4.883
7.812,20.996,6.348,-49.316,31.738
-1.465,20.02,-3.906,-48.828,78.613
18.555,19.531,-6.348,-45.898,22.461
40.527,23.438,7.324,-40.039,24.902
29.297,23.926,7.812,-35.645,46.875
18.066,22.949,3.418,-37.109,57.617
10.742,23.438,1.953,-34.668,49.805
23.438,24.902,-0.977,-34.18,83.496
41.016,21.484,-4.883,-33.691,75.684
34.668,17.09,-7.812,-32.227,29.297
20.508,18.066,-9.766,-34.668,17.578
4.883,17.09,-8.789,-35.645,49.805
19.531,22.949,-6.348,-31.25,109.863
50.293,28.32,-5.371,-24.902,52.246
41.992,27.832,-3.418,-29.297,22.461
23.438,28.809,-1.953,-35.156,13.184
5.859,25.879,-10.254,-36.621,62.012
12.207,24.414,-22.461,-39.062,42.969
40.527,28.32,-20.508,-38.086,-44.434
38.574,31.25,-14.648,-34.668,20.996
18.555,28.809,-10.742,-36.133,19.043
0.488,27.344,-7.812,-41.016,-38.574
2.93,23.926,-5.859,-42.48,4.883
27.344,24.902,-0.977,-40.039,-3.418
29.785,30.762,1.953,-34.18,32.227
18.066,29.785,-2.93,-36.133,0.488
3.418,29.297,-4.883,-44.922,-38.086
3.418,32.715,-1.953,-44.434,38.086
34.18,28.809,-0.488,-41.992,10.254
41.992,25.391,0,-38.086,-41.992
25.879,26.855,-0.488,-32.715,-12.207
15.137,27.344,5.371,-27.344,51.758
15.137,30.273,14.16,-22.461,68.848
40.039,33.203,17.09,-19.043,36.133
49.805,29.785,12.207,-14.648,64.941
36.621,25.879,10.742,-19.531,0.488
20.996,26.855,13.184,-23.926,-26.855
13.672,23.926,20.996,-20.996,6.836
37.598,21.973,34.18,-21.973,-31.25
46.387,29.785,42.48,-20.996,-31.25
29.785,30.762,42.48,-20.02,62.5
14.648,27.344,38.574,-21.973,29.297
6.836,27.832,35.645,-21.973,-38.574
20.996,25.879,38.086,-21.484,40.527
31.25,24.902,42.969,-25.391,111.816
25.391,20.02,35.645,-29.785,144.531
11.23,20.996,24.414,-30.273,93.75
-4.883,26.367,24.414,-34.18,25.391
13.184,29.297,25.391,-36.621,2.441
38.086,32.227,24.414,-27.832,-24.902
33.203,32.715,19.531,-21.484,16.113
24.414,37.109,16.113,-20.02,21.484
17.09,40.039,13.184,-19.043,-13.184
30.273,32.227,5.859,-21.484,-46.387
55.176,31.738,5.859,-18.555,-30.273
52.246,39.062,7.812,-14.16,13.184
33.691,38.574,11.23,-17.578,-24.902
15.625,34.668,10.254,-24.414,-24.414
23.926,31.25,10.742,-22.461,10.742
45.41,27.344,13.184,-22.949,28.32
44.922,28.32,13.184,-23.926,59.57
38.574,30.762,20.508,-16.113,54.688
21.484,25.391,26.367,-18.555,58.594
26.855,21.973,25.391,-26.855,63.477
53.223,24.414,20.996,-28.32,86.426
51.758,27.832,17.09,-25.391,35.156
36.621,27.832,20.508,-23.438,32.715
15.137,26.367,26.855,-28.809,50.293
14.16,22.949,30.273,-32.715,5.371
41.992,22.949,29.297,-30.762,3.418
45.898,24.414,30.273,-28.809,18.555
34.668,21.973,30.762,-25.391,54.199
19.531,18.555,25.879,-31.25,35.156
10.742,18.555,21.484,-41.016,29.785
36.133,18.066,23.926,-38.574,62.5
43.457,19.043,26.855,-33.691,48.34
27.344,21.484,25.879,-33.203,53.711
11.719,17.09,23.926,-38.086,58.594
4.883,15.137,16.602,-44.922,48.34
28.809,16.602,15.137,-42.48,-21.973
35.156,18.555,17.09,-37.109,9.766
18.066,18.066,14.648,-37.598,70.801
7.324,20.508,12.695,-38.574,1.953
-2.441,20.996,15.625,-38.574,-38.086
20.508,22.461,17.578,-37.598,22.461
37.109,25.879,9.766,-38.086,29.297
23.926,24.902,6.836,-41.016,-48.828
10.254,27.344,7.812,-42.969,-4.395
0.488,25.879,3.906,-41.016,23.926
25.879,21.484,6.348,-36.621,-14.16
50.781,23.926,4.395,-35.156,-9.766
40.039,24.902,-0.488,-34.668,7.324
22.461,24.414,1.465,-39.551,-14.16
11.719,24.414,1.465,-41.016,-8.789
25.879,21.484,0.977,-35.156,12.207
43.457,18.555,-0.488,-30.273,2.441
34.18,18.555,0,-28.809,-8.301
20.02,22.461,1.465,-35.645,17.09
3.906,22.949,-3.906,-36.621,57.617
16.113,23.926,-3.418,-30.762,41.504
41.504,26.367,4.883,-27.832,65.43
36.133,22.461,8.789,-26.855,38.086
23.438,19.531,11.23,-33.691,-18.555
9.277,21.973,11.23,-35.645,7.812
12.695,23.438,7.812,-33.691,43.945
38.086,23.926,9.277,-34.18,64.941
39.551,26.367,12.695,-36.133,61.523
21.484,25.391,11.719,-41.504,66.895
1.465,21.484,8.301,-44.922,32.715
