TP9,AF7,AF8,TP10,Right AUX
23.438,36.621,419.434,3.906,-6.836
13.672,38.086,-59.082,1.953,-6.836
22.949,37.598,-229.98,3.906,-12.207
44.922,36.621,62.012,3.906,-28.32
59.57,40.039,457.031,6.348,-8.789
45.41,39.062,375.977,5.859,56.641
16.113,37.109,-240.234,5.371,-13.672
22.461,41.016,-332.52,9.766,-63.965
38.086,40.039,-23.926,11.719,-56.152
46.875,38.086,290.039,17.09,-30.273
50.293,40.527,531.25,20.508,23.926
27.832,40.039,75.195,18.066,27.832
23.926,34.668,-163.574,21.973,46.387
39.551,38.086,62.012,30.273,11.719
44.434,37.109,427.246,25.879,-14.648
35.645,35.156,553.223,21.484,28.809
31.738,39.062,67.871,21.973,9.277
38.574,36.133,-316.406,24.414,-23.438
49.316,37.109,-133.789,28.32,20.02
55.176,37.598,403.32,31.738,57.129
40.039,38.574,601.074,34.18,26.367
18.066,40.527,159.18,25.391,-0.977
13.672,38.086,-144.043,20.508,35.156
23.438,35.645,-38.086,21.973,50.293
35.156,38.574,333.984,20.508,47.852
30.273,38.086,528.32,21.973,86.914
20.02,35.645,110.352,19.531,63.477
15.625,32.715,-229.492,11.719,16.113
8.301,27.832,-16.113,15.137,82.52
18.555,25.879,91.797,20.508,34.668
25.879,28.32,228.027,17.09,-41.504
8.789,31.25,293.945,15.137,-4.883
-7.324,35.156,-74.707,11.23,31.25
-3.906,35.645,-87.891,13.184,14.16
10.254,34.668,229.98,16.602,11.719
11.719,33.203,545.41,16.602,58.105
0,28.32,327.148,16.602,43.945
-10.254,28.32,-133.789,12.695,64.453
-7.812,27.832,-166.504,13.672,42.969
14.16,27.832,208.008,16.602,47.363
15.137,33.203,427.734,21.973,-2.441
-4.395,32.227,110.352,25.391,-89.355
-5.371,32.227,-257.812,21.484,-44.922
9.277,31.738,-133.789,17.578,-13.184
20.02,34.668,249.512,17.578,44.434
24.414,38.574,602.539,18.555,112.305
7.324,31.738,462.891,19.043,83.496
-12.695,31.25,-59.57,18.066,90.332
-2.93,34.668,-160.156,13.184,90.332
12.207,34.18,-5.859,14.16,33.691
30.273,36.621,333.984,19.043,105.469
20.508,38.086,479.492,18.066,135.742
0.977,38.574,-59.082,7.812,35.645
7.324,37.598,-347.656,8.301,40.527
9.277,36.621,-114.746,10.254,49.316
11.719,36.133,373.535,12.695,33.203
13.672,40.527,484.863,18.555,51.758
5.371,37.109,-35.645,13.184,35.645
5.859,32.715,-253.906,10.254,51.27
27.832,41.504,-23.438,16.113,121.094
42.969,44.434,186.523,20.508,75.684
28.32,41.016,335.449,23.438,34.668
7.812,40.039,20.996,23.438,72.754
3.906,36.621,-315.918,16.602,61.523
22.461,36.621,-175.293,14.648,10.254
34.668,36.133,124.023,25.391,-38.574
22.461,31.738,277.832,26.855,-11.23
6.348,30.762,1.465,12.207,11.719
5.859,32.715,-350.586,7.324,-49.316
14.16,32.715,-239.258,9.277,-19.531
22.949,27.344,197.754,12.207,-5.371
18.555,30.273,406.738,10.742,-3.906
0,32.227,61.523,8.301,24.414
-14.16,27.832,-264.16,3.418,44.434
-6.836,30.273,-191.895,0,17.09
16.602,29.785,187.012,1.465,28.809
16.113,26.855,441.406,2.93,60.059
1.953,33.691,39.551,1.465,32.227
-10.254,38.086,-486.816,1.465,-5.859
-10.254,37.109,-335.449,9.277,-15.137
10.254,33.691,75.195,9.766,28.809
18.555,29.297,222.168,8.301,20.996
2.441,27.344,229.004,11.23,-4.395
-8.789,32.227,-71.289,12.207,57.617
-1.953,33.691,-143.555,10.254,43.945
20.02,30.273,228.516,13.184,-12.695
23.438,32.227,501.953,17.09,-4.395
6.836,34.668,295.41,19.043,13.672
2.93,35.645,-200.195,19.043,8.301
13.184,36.621,-288.574,18.066,22.949
23.926,35.156,-57.617,11.23,-2.93
18.555,33.691,303.223,10.254,38.574
6.348,35.156,412.109,11.719,79.102
-6.836,34.18,-72.754,6.836,-4.883
-5.371,31.738,-168.945,7.324,33.203
9.277,29.297,141.113,14.648,60.547
11.719,22.949,444.824,20.02,22.949
-7.812,21.484,377.93,17.578,41.016
-11.23,22.949,-171.387,15.625,18.066
-5.371,21.484,-300.781,12.207,-12.207
12.695,25.879,25.879,12.207,-21.484
28.809,25.391,364.746,18.066,34.18
18.555,11.719,366.699,37.109,48.34
15.137,19.531,-10.742,46.387,19.043
2.93,33.691,-173.828,15.137,21.973
-5.371,37.109,-5.371,-1.953,-11.23
5.859,41.016,322.754,0.977,-29.785
-2.93,43.945,498.535,-11.23,29.297
-14.648,45.41,75.684,-17.578,28.32
-15.625,49.316,-232.91,-25.879,-7.812
-0.977,52.246,10.742,-27.344,15.137
8.301,58.105,279.297,-28.32,32.715
0.488,59.082,373.535,-30.273,9.766
-5.859,53.223,64.453,-32.227,6.836
-6.348,52.734,-253.418,-29.297,24.902
8.789,46.875,24.902,-22.949,5.859
22.949,42.48,322.266,-20.02,15.625
23.926,42.969,490.234,-5.859,56.152
13.184,42.969,369.629,-2.93,57.129
9.766,46.875,-24.414,-6.348,59.57
21.484,44.434,86.426,-2.441,76.172
33.691,40.039,440.43,0.977,60.059
36.133,37.109,638.672,9.766,84.473
