TP9,AF7,AF8,TP10,Right AUX
45.41,41.016,65.43,41.504,23.926
25.391,42.48,72.266,31.25,28.32
20.996,41.016,77.637,33.691,55.176
35.645,40.527,76.172,28.32,36.133
39.551,37.109,74.707,39.062,-7.324
38.086,37.598,67.871,44.922,0
42.969,40.527,60.547,31.738,33.691
40.039,38.086,57.129,36.621,55.664
26.855,35.156,54.199,37.598,14.16
28.809,32.715,56.152,32.715,39.551
39.551,34.18,58.594,39.062,-3.418
40.039,37.109,55.176,44.922,-14.648
41.504,37.598,47.852,42.48,65.918
36.621,34.18,41.992,31.738,53.223
28.809,31.25,36.621,23.438,-17.09
38.574,34.18,38.086,22.461,-4.395
41.992,37.109,37.109,26.367,62.988
22.461,31.738,30.273,28.32,29.785
23.438,29.297,25.391,26.367,-15.625
50.293,28.32,16.113,21.973,-15.625
55.664,29.785,21.484,29.785,-17.578
30.762,34.18,34.18,41.504,33.203
30.762,30.273,25.391,23.926,74.707
27.344,25.391,18.555,16.113,90.82
9.766,21.973,15.625,31.738,20.508
42.48,24.902,16.113,22.461,34.18
49.316,31.25,20.02,19.043,94.238
17.578,30.762,22.949,31.25,86.914
4.395,28.32,13.184,25.879,56.152
15.137,26.367,11.23,22.461,34.668
38.574,26.367,17.09,30.273,87.891
32.715,27.832,15.137,28.32,62.5
12.695,27.832,12.207,18.555,23.926
1.953,28.809,4.395,13.184,52.246
0.977,27.344,4.395,1.465,22.949
10.254,21.484,16.113,6.836,6.836
19.531,16.113,24.414,16.602,25.879
15.625,17.578,25.391,12.695,25.879
-8.789,18.555,25.391,4.883,54.688
-8.789,18.066,20.508,6.348,-19.531
17.09,19.043,24.902,16.113,-16.602
9.766,17.578,31.738,16.113,25.391
-8.789,20.02,30.273,9.766,-5.859
-0.488,22.949,25.391,6.348,3.418
1.465,21.973,25.391,4.883,9.277
2.441,23.438,23.926,1.465,60.059
10.742,27.344,29.297,0.977,108.398
0.977,26.367,31.738,-0.488,36.133
-3.906,24.414,26.855,0.488,9.766
-1.465,22.949,30.273,1.953,109.863
11.719,19.531,35.645,-7.324,101.562
15.137,21.484,42.969,-5.371,4.883
-5.371,21.973,55.176,6.348,-56.152
-24.902,24.902,51.27,-4.395,-10.742
-13.672,24.902,48.34,-20.996,9.766
-2.93,23.926,55.176,-8.301,6.836
3.906,28.809,62.5,3.418,27.832
-0.488,26.855,72.266,0.488,10.254
-16.113,25.391,73.242,-12.207,8.301
-2.441,27.344,70.801,-15.625,5.371
24.414,28.809,65.918,-2.93,-3.906
32.227,27.344,65.918,-4.883,15.137
14.16,22.949,67.383,-3.418,13.672
9.766,19.043,56.641,30.762,-23.926
2.93,20.996,48.34,17.578,4.395
18.066,25.391,41.992,-4.395,60.059
41.016,28.809,42.48,20.508,20.996
29.297,34.668,50.781,27.344,-21.484
14.16,36.133,51.758,29.297,-2.441
32.715,35.645,47.852,34.18,61.035
33.691,33.691,43.457,38.086,52.734
26.367,30.762,46.875,25.879,20.508
22.949,29.297,55.664,27.344,47.363
14.16,27.344,54.199,33.203,72.754
11.23,22.461,52.734,27.344,-0.488
20.02,19.043,63.965,26.855,-39.551
39.062,23.926,83.008,23.926,40.039
29.297,29.297,81.543,20.996,41.504
16.113,29.297,80.078,22.949,19.531
23.438,25.879,81.055,27.344,52.246
19.043,25.879,74.219,23.926,11.719
23.926,26.367,76.66,11.719,-19.043
46.875,31.25,77.148,16.602,16.113
31.25,30.762,75.195,31.25,50.293
11.719,29.785,70.801,33.203,67.871
16.602,30.273,73.73,20.508,22.461
41.016,27.832,76.66,18.555,2.93
49.316,27.344,71.777,30.273,-39.551
32.227,30.273,67.383,37.598,-107.422
20.996,28.809,62.012,31.25,-6.348
14.648,25.879,65.918,25.879,57.129
24.902,29.297,66.406,31.25,19.531
33.203,27.344,62.988,25.879,50.781
26.367,24.902,64.453,16.602,85.449
23.438,22.949,55.176,16.602,108.887
11.719,22.461,43.457,16.113,70.801
18.066,20.996,43.457,22.461,19.531
44.434,21.973,55.176,29.785,2.441
37.109,23.438,56.641,26.367,28.32
26.367,25.391,52.734,24.414,36.621
26.855,25.879,45.898,29.297,-52.246
