TP9,AF7,AF8,TP10,Right AUX
43.457,39.551,48.828,19.043,75.684
57.617,40.039,48.34,23.438,44.434
41.504,41.016,47.852,25.879,14.648
26.855,39.551,49.316,24.414,49.316
20.02,38.086,49.805,22.461,18.066
49.316,39.062,43.457,29.297,-44.434
59.082,43.457,37.109,29.785,-57.129
39.551,44.922,36.133,29.297,-65.918
19.043,32.715,35.156,29.297,-16.602
4.395,25.391,35.645,27.344,11.23
36.133,31.738,38.086,33.691,82.031
57.129,35.645,38.086,38.086,67.871
41.016,40.527,42.48,32.227,-19.043
20.02,39.551,41.016,24.414,-18.066
8.789,40.039,37.598,21.973,0
40.527,46.387,39.062,30.762,5.371
58.105,44.434,35.645,32.227,-20.996
37.598,37.109,32.227,25.391,35.156
19.531,39.062,34.18,22.949,14.648
2.93,45.898,39.062,19.043,5.371
23.926,41.992,39.551,15.625,65.43
53.711,31.25,32.227,20.02,60.059
40.039,33.691,30.762,17.09,32.227
19.043,39.062,39.551,11.23,39.551
-0.977,33.691,35.645,4.395,59.082
11.23,30.273,32.227,3.418,21.484
46.875,31.738,39.062,17.09,-3.418
43.457,31.738,39.551,19.531,23.438
23.438,33.203,40.527,15.625,14.648
8.301,38.574,34.668,13.184,47.852
23.438,42.969,32.715,16.602,68.848
59.57,41.016,36.621,20.508,9.277
52.246,35.645,33.203,17.09,-12.207
34.18,35.156,34.668,20.02,39.551
19.531,35.645,35.156,21.484,100.586
22.461,36.621,34.18,23.926,44.434
59.082,36.133,30.273,34.668,25.391
58.105,32.715,27.832,36.133,33.203
37.109,35.156,27.832,27.344,44.922
20.02,36.621,23.438,24.414,31.25
17.09,34.668,23.438,20.02,-30.273
48.34,31.738,19.531,17.578,3.418
53.711,34.668,19.531,20.508,55.176
38.574,38.574,27.344,14.648,71.289
22.461,40.039,23.438,7.812,19.043
17.578,43.945,22.949,3.418,8.789
49.316,39.062,29.785,2.93,18.555
62.012,35.645,29.297,9.277,1.953
44.922,40.527,27.832,11.23,32.227
25.391,38.086,32.715,9.766,-2.93
