TP9,AF7,AF8,TP10,Right AUX
22.461,83.008,11.23,24.414,77.148
16.602,27.344,3.906,18.066,86.914
12.695,-43.945,1.953,6.348,3.906
1.953,-3.418,8.789,-0.488,1.465
16.113,24.902,8.301,8.301,25.879
25.391,18.066,7.324,8.301,-33.203
21.973,2.441,-2.441,8.301,4.395
15.137,-71.289,-9.766,11.719,0.977
10.254,-17.578,3.418,6.836,-21.973
14.16,65.918,0,5.371,6.348
15.625,77.148,2.93,9.277,23.438
22.461,53.223,8.301,15.137,12.695
14.16,-15.625,0.488,11.23,-16.602
2.93,-8.301,5.859,7.324,-2.93
14.648,32.715,11.23,14.16,32.715
28.809,69.336,6.348,20.02,31.25
21.484,60.059,-5.859,13.184,33.203
24.414,-8.789,-4.883,23.438,43.457
30.273,-22.949,2.441,34.18,71.777
11.719,25.879,0.977,6.836,100.098
7.812,60.547,0.488,-3.418,48.34
5.859,57.129,-1.953,-0.977,61.035
0.977,-14.648,-6.836,-2.441,45.898
-6.836,-26.367,-6.836,-8.789,0.488
-7.812,-16.602,-5.859,-11.23,3.906
10.254,18.555,4.395,11.23,10.742
15.137,83.008,11.23,18.555,0.488
13.672,-19.043,-4.883,1.953,27.344
10.742,-66.895,-15.625,-6.348,22.949
9.766,1.953,-3.906,1.953,15.137
19.043,25.879,0.488,8.789,1.465
20.02,96.68,5.371,16.602,23.926
16.602,-5.859,1.953,23.438,43.457
12.695,-92.773,-6.836,16.602,13.184
12.207,6.836,-2.441,8.301,9.766
27.832,49.805,0.977,13.672,24.414
31.738,59.57,2.93,13.184,25.879
22.949,11.23,-0.488,17.09,26.855
17.578,-26.367,1.953,12.695,56.641
15.137,-27.832,3.906,4.395,52.246
18.555,5.859,-7.812,12.207,4.395
27.344,33.203,-3.906,20.508,2.441
19.043,-24.414,6.836,21.484,45.41
13.184,-70.312,0.488,10.742,121.582
15.625,-38.574,-3.418,1.465,34.18
23.926,11.23,2.93,23.438,-49.316
34.668,62.012,8.301,42.48,31.738
29.297,-10.254,0,38.574,25.879
15.137,-62.012,-0.488,24.902,23.438
11.719,-51.27,1.465,11.23,0.488
16.602,-35.156,2.93,12.695,-66.406
19.531,34.668,13.672,25.391,-11.23
13.672,2.93,2.93,25.391,30.273
13.672,-87.402,-4.395,28.809,10.742
12.207,-99.609,0.488,23.926,26.367
7.324,-64.453,-2.93,15.625,-39.551
17.578,26.855,7.324,25.879,-46.387
24.414,40.527,12.695,27.832,41.016
15.625,-104.492,-15.625,11.719,26.855
5.859,-100.098,-17.09,0.977,10.742
14.648,-0.977,0.977,17.578,-11.23
23.926,20.508,4.395,21.484,-19.531
24.902,29.297,3.906,17.578,41.016
26.367,-14.648,1.953,20.996,67.383
12.695,-50.781,-9.766,9.277,69.824
23.438,-82.031,-18.066,10.742,32.715
39.551,-15.625,0.488,25.391,58.105
27.344,36.621,0,22.461,44.922
24.902,-92.285,-22.461,14.16,17.09
24.414,-116.699,-19.043,16.113,79.102
21.484,-22.949,-11.719,20.02,51.27
30.762,-2.93,-7.324,29.297,27.832
27.832,-5.859,-7.812,31.25,5.859
18.066,-55.664,-18.555,23.926,36.621
8.789,-102.051,-15.625,20.02,57.129
5.859,-106.445,-10.254,14.648,29.785
19.043,-79.102,-15.137,10.742,28.809
19.043,-71.777,-21.484,28.809,36.133
19.043,-152.344,-25.391,38.086,-0.977
17.09,-180.176,-20.508,12.207,-33.691
10.742,-83.984,-14.648,2.93,-13.672
25.879,-35.645,-9.277,18.066,-26.855
26.367,-10.742,-4.883,22.949,-14.648
17.09,-45.41,-4.395,25.391,51.758
8.301,-99.121,-6.836,20.996,10.742
3.418,-94.238,-13.672,8.301,-33.203
16.602,-42.48,-1.465,20.996,57.617
23.926,-1.953,3.418,32.227,91.309
20.996,-70.801,-7.812,35.156,30.273
18.555,-145.508,-12.695,39.062,20.02
19.043,-125.488,-16.113,27.832,2.441
27.832,-49.316,-10.742,32.227,51.27
32.715,6.836,8.301,40.039,52.734
23.926,-48.34,4.883,35.156,-2.93
11.23,-173.828,-16.602,25.391,30.762
3.906,-125.488,-5.859,20.996,18.555
16.602,-62.5,0.488,34.668,-21.973
26.855,-33.203,0,45.898,-9.277
18.066,-17.578,0.488,47.363,15.625
14.648,-68.359,-5.859,40.039,21.484
20.02,-84.961,-14.16,35.156,-22.461
26.855,-95.703,-24.902,31.25,-30.762
33.691,-23.926,-1.953,36.621,30.762
31.25,30.762,3.906,42.48,37.598
26.367,-90.332,-15.625,37.598,12.695
23.926,-109.863,-15.137,33.691,-0.977
23.438,8.789,0.488,36.133,32.227
27.832,48.34,2.93,42.969,64.941
32.227,59.082,-1.465,53.223,116.699
27.832,2.441,-7.812,48.828,95.703
26.855,-16.602,-7.812,42.48,69.336
30.273,-19.531,-8.301,44.434,54.688
27.832,4.883,-11.719,43.457,-30.273
28.32,27.832,-11.719,45.898,-43.945
22.949,-3.906,-9.277,40.039,-10.742
15.625,-13.672,-7.324,28.809,56.641
18.555,0.488,-9.277,30.273,48.34
35.156,41.504,-2.441,39.551,29.297
35.645,79.102,13.184,39.551,18.555
35.645,-7.324,8.789,41.016,63.477
30.273,-75.195,-11.23,29.785,79.102
19.043,6.836,-0.977,23.926,38.574
28.809,43.945,3.906,34.668,25.391
32.227,71.777,9.277,34.18,14.648
21.973,8.789,2.441,22.461,9.766
13.184,-51.27,-6.836,23.926,44.922
25.879,-40.039,-2.441,34.18,109.375
34.18,-0.488,1.953,32.715,69.336
31.25,76.66,10.254,35.645,19.531
36.133,13.672,-0.488,40.527,1.953
29.297,-53.223,-9.766,32.715,-16.602
28.809,-8.789,-5.371,29.785,31.25
37.598,8.301,-6.836,30.273,51.758
33.691,52.246,-8.301,25.391,11.719
25.391,20.508,-2.441,23.438,36.133
18.555,-77.148,-4.883,15.625,32.715
12.695,-41.016,2.441,13.672,7.324
16.113,-22.949,7.324,17.578,40.039
24.902,6.348,5.371,24.414,48.34
21.973,21.484,11.719,24.414,27.832
11.23,-50.293,7.324,14.648,6.348
9.766,-37.598,18.066,22.949,18.066
19.043,-16.113,25.391,27.344,-2.441
23.926,14.648,15.625,17.09,-47.852
29.297,25.879,21.973,26.855,-3.906
26.367,-9.277,20.996,32.227,112.305
15.137,-30.273,18.066,25.391,123.535
13.672,-32.227,18.066,19.043,23.926
26.367,17.09,23.926,18.066,32.227
29.297,14.16,19.043,28.809,79.102
26.367,-102.539,11.23,26.367,0.977
25.391,-119.141,13.184,18.555,-27.344
22.949,0,15.137,15.137,2.441
22.949,50.293,18.555,15.137,13.672
22.461,41.992,20.996,22.461,41.016
17.578,-21.484,4.883,24.902,-21.973
12.207,-15.625,0.977,18.555,32.715
14.16,-16.113,5.859,12.207,80.566
20.996,-19.043,7.812,13.672,-19.531
21.484,17.578,10.742,14.16,-23.438
18.066,-6.836,4.883,11.23,33.691
9.766,-80.566,1.953,14.16,36.133
5.371,-64.453,12.207,13.184,41.016
13.672,-5.859,17.09,6.348,49.316
28.32,46.875,20.02,10.742,39.551
24.414,-28.809,15.625,11.719,52.246
9.766,-119.141,-3.418,-11.23,53.223
9.277,-49.805,0.488,-4.883,11.23
21.973,-12.695,9.766,9.766,-9.766
26.855,9.766,13.672,13.672,64.453
24.902,-13.184,9.277,20.02,56.152
25.879,-30.273,8.301,13.184,17.09
11.23,-40.039,0.488,6.348,-8.301
19.531,-36.133,1.465,11.23,67.383
32.227,20.508,16.602,16.113,61.035
20.508,-16.113,3.418,7.324,-5.859
15.137,-59.57,-6.836,0.977,-10.742
12.695,-28.809,7.324,4.395,7.324
15.137,-32.227,7.812,0,-0.977
21.973,14.16,10.742,-3.418,-23.438
24.414,-1.465,13.184,10.742,-31.25
17.578,-94.238,-1.953,15.137,-41.016
3.418,-53.711,1.465,7.812,-5.859
6.836,-38.574,1.953,9.277,-14.648
14.16,-19.531,4.395,-0.977,-22.461
11.23,2.93,14.648,2.441,-4.883
0.488,-88.379,1.465,7.812,30.273
-7.812,-61.523,5.371,-2.441,73.73
5.859,14.16,10.254,0.488,65.43
14.648,37.109,2.93,3.906,43.457
14.648,40.039,3.418,5.859,45.41
12.207,-14.648,4.395,12.695,20.02
10.254,-34.668,8.301,8.301,12.695
14.16,-37.109,7.812,0.977,27.344
28.809,5.371,10.742,7.812,64.453
27.832,21.973,14.648,16.602,47.852
14.648,-31.738,15.137,16.602,-10.742
10.742,-48.828,6.836,7.812,69.824
11.23,-66.895,0,-1.465,85.449
19.043,-44.434,0,9.277,13.184
28.809,33.691,6.348,25.391,-31.738
24.902,-7.324,1.953,19.043,-60.547
15.625,-39.062,-3.906,11.23,1.953
13.184,-26.855,-2.93,8.789,20.508
16.602,-1.465,7.812,9.766,8.301
17.09,41.992,5.371,15.625,23.926
6.348,-15.625,-4.395,6.348,15.625
0.977,-37.109,0.977,-1.953,29.785
-4.883,-18.555,10.254,-3.418,53.711
0.977,-37.598,3.906,-0.977,15.625
6.348,11.23,-5.859,-1.465,25.391
-1.953,-10.742,0.488,-4.395,37.109
-2.441,-122.559,-3.418,-11.719,3.906
-2.93,-51.758,-1.953,-9.766,33.691
4.395,62.012,0.488,-3.418,28.809
12.695,77.148,5.371,2.441,-0.977
16.113,30.273,12.695,17.578,11.719
6.836,-34.18,1.953,9.766,-20.996
2.93,-26.367,-2.441,2.93,-22.461
12.695,-2.93,3.418,9.766,51.758
27.832,28.809,8.789,18.555,47.852
30.273,2.93,12.207,23.926,51.758
15.625,-70.801,-2.93,17.09,72.266
7.324,-41.504,-1.953,2.441,41.504
10.742,26.367,11.23,9.766,38.086
18.555,47.852,5.371,13.184,-6.348
23.926,44.434,8.301,9.277,30.273
14.648,0.488,4.395,10.254,91.797
-0.977,-16.602,8.789,-5.371,75.195
4.883,-19.043,6.836,-11.23,72.266
19.531,7.324,2.93,-3.418,17.578
15.625,27.832,7.324,-5.859,6.836
5.859,-12.207,4.883,-8.789,29.297
5.371,-60.547,2.441,-12.207,19.531
12.207,-54.688,4.883,-18.066,8.789
20.996,29.297,22.461,-3.906,16.602
20.996,66.895,25.879,12.695,15.625
17.09,16.602,18.066,14.16,-8.789
14.648,1.953,19.531,8.789,-23.438
14.16,6.348,19.043,7.324,4.883
23.926,23.926,25.391,21.484,-17.578
33.691,59.57,25.879,32.227,-12.207
23.438,-20.02,14.648,19.043,80.078
5.371,-54.199,12.695,0.977,30.273
7.324,12.207,15.625,4.883,-0.488
28.32,-0.488,13.672,16.602,18.066
28.809,34.18,21.484,19.531,-23.438
14.648,-2.441,14.16,7.812,-35.156
8.301,-43.945,14.16,2.93,13.184
3.418,37.598,29.297,2.93,67.871
10.742,60.059,25.391,0,94.238
20.02,76.66,26.855,7.812,96.191
16.602,34.18,25.879,12.695,100.098
14.648,-16.602,20.508,9.277,48.828
16.113,-9.766,18.555,10.742,11.719
26.367,2.93,22.461,14.648,54.199
37.109,26.855,22.949,21.484,47.363
35.645,-7.324,20.508,30.762,66.406
28.809,-42.48,14.16,22.949,47.852
27.344,7.324,18.066,19.043,23.926
34.18,31.738,28.32,26.855,54.199
34.668,82.031,30.762,34.668,71.289
33.691,40.039,25.879,46.875,44.922
27.344,-18.555,17.09,38.574,20.508
13.672,0.977,15.137,19.043,20.996
14.648,-5.859,16.113,9.766,33.203
23.438,42.48,19.043,12.695,43.945
27.344,46.387,22.461,22.461,62.012
20.996,-24.902,14.648,12.207,38.086
8.301,-36.621,11.719,-0.488,13.184
8.789,-37.109,11.719,7.324,22.461
21.973,11.719,18.555,17.09,-10.254
21.973,84.961,27.344,10.742,8.301
10.742,-31.738,-2.441,3.418,20.02
4.395,-56.152,-1.465,-2.93,21.484
13.184,22.949,22.461,3.906,20.02
17.578,50.293,20.508,13.672,18.066
17.09,48.34,27.344,18.066,13.184
9.766,10.254,29.785,15.625,71.289
2.93,2.441,24.414,11.719,106.934
14.648,-23.438,12.207,18.066,62.988
27.344,-27.832,8.789,27.344,40.039
33.691,27.832,23.926,33.691,-4.883
33.203,-23.438,21.484,21.484,-8.301
25.391,-69.336,10.254,10.254,21.973
23.926,-3.418,18.066,16.113,22.949
24.902,43.945,26.367,10.742,49.805
21.484,81.055,25.879,16.602,58.105
22.461,32.715,24.902,22.461,17.09
23.926,18.555,21.973,17.09,62.5
12.695,8.789,10.742,0.977,64.941
14.648,17.09,22.949,-1.465,-2.441
24.902,57.617,30.762,17.09,-8.789
21.484,-16.113,19.531,19.043,-17.578
13.672,-29.785,18.066,6.348,-5.859
11.719,21.973,22.461,1.465,58.594
15.137,30.762,26.367,2.93,98.145
23.926,69.824,29.785,11.23,63.477
30.273,15.625,19.531,18.066,25.879
23.926,-47.363,9.766,13.672,54.199
12.695,-28.809,14.648,8.301,11.23
34.668,-12.207,21.973,22.949,-22.949
47.852,26.367,24.902,31.738,-66.895
46.875,8.301,20.508,34.668,-44.922
39.062,-48.828,15.625,36.621,-69.824
23.926,-57.129,9.277,26.855,-81.055
31.738,-27.832,1.953,16.113,-19.531
34.668,56.641,5.859,19.043,-9.766
32.227,75.195,4.883,24.902,37.109
29.785,-52.734,-0.488,17.578,58.105
12.207,-64.941,7.812,9.766,54.688
12.695,38.086,16.602,7.812,36.621
23.926,65.43,14.16,13.184,23.438
22.461,58.105,16.113,16.602,23.438
16.602,22.949,12.207,15.137,19.043
7.812,11.719,6.836,6.836,60.547
11.719,-17.09,11.719,9.766,56.641
23.438,-12.695,5.859,20.996,54.688
34.18,21.484,19.043,22.461,50.781
37.109,-36.621,12.695,22.949,17.578
25.879,-41.016,-7.812,10.254,9.277
24.414,28.32,8.301,12.207,33.203
35.156,53.223,18.066,24.414,79.102
39.062,62.5,15.137,30.273,45.41
32.227,20.508,8.301,35.156,-10.254
16.602,2.93,9.277,26.367,-7.324
17.09,3.906,7.812,23.438,41.992
31.25,34.18,16.602,27.832,72.266
31.25,48.34,15.137,29.297,52.734
26.855,-29.785,-2.93,36.133,-10.254
19.531,-38.086,5.371,27.832,-17.578
10.254,2.93,13.184,11.719,61.035
25.879,21.973,5.371,14.16,62.5
42.969,73.242,11.23,19.043,0
31.25,19.043,11.719,25.879,62.012
12.207,-45.898,0.488,14.648,85.938
8.301,-0.977,7.324,0,9.766
17.09,23.438,7.812,18.555,12.695
28.32,57.129,8.301,29.297,-8.789
24.414,31.738,8.789,16.602,12.207
16.602,-5.859,9.766,19.531,63.965
10.254,-30.762,3.418,18.066,58.594
15.137,-43.945,-6.836,15.625,52.734
25.391,41.504,7.324,20.996,50.781
23.438,49.805,10.742,22.461,58.594
20.02,-55.664,0,13.184,41.016
8.789,-23.438,0.488,2.441,-8.789
