TP9,AF7,AF8,TP10,Right AUX
22.461,43.457,-33.691,22.461,10.254
35.645,45.41,-8.789,29.785,16.602
49.316,47.363,29.785,47.852,35.645
33.691,46.387,11.719,49.316,50.293
18.066,44.434,-19.531,35.645,38.086
17.578,42.48,-27.832,33.691,-15.625
31.25,36.621,-22.949,33.691,1.465
42.969,36.621,4.395,32.227,27.344
30.273,39.062,17.09,34.668,15.625
20.02,36.621,-8.301,34.18,29.297
19.043,36.133,-18.555,29.785,72.266
28.809,34.18,-12.207,33.691,52.734
49.805,42.48,7.812,41.992,26.855
40.039,43.457,0,35.156,46.387
23.438,33.691,-19.043,26.855,48.34
17.578,32.227,-34.668,20.02,52.246
29.785,29.297,-38.086,20.02,-15.137
48.828,32.227,-4.883,35.156,17.09
41.504,32.715,7.324,41.992,43.457
31.25,30.273,2.93,36.621,28.32
26.855,37.109,10.254,29.297,103.027
39.551,38.574,-17.09,34.18,41.992
52.246,38.086,0.977,38.086,-2.93
43.945,38.574,43.945,41.992,60.547
38.574,33.691,16.113,40.527,-3.906
24.902,32.227,-14.16,25.879,-17.578
30.762,35.645,-32.227,23.438,-11.719
55.664,38.574,-4.395,32.715,20.508
49.316,38.574,8.789,40.039,18.066
28.809,35.156,-18.555,38.086,-4.395
18.555,38.574,-21.484,21.973,35.645
26.367,43.945,-16.602,13.184,104.004
44.922,41.016,-7.324,20.02,81.055
42.969,41.016,15.137,25.879,18.066
29.297,41.992,11.719,27.344,26.367
18.555,45.898,-6.348,20.508,118.652
25.391,45.898,-20.02,16.113,90.82
44.434,40.527,0,26.367,27.344
44.922,41.504,45.41,33.691,36.621
32.227,40.039,48.828,32.227,12.207
21.973,34.18,20.508,24.902,10.254
21.973,26.855,3.418,16.602,48.828
45.41,32.227,28.32,23.926,26.855
57.617,39.551,60.059,38.574,-8.301
29.297,30.762,38.574,24.902,-20.996
9.766,24.414,3.906,6.348,-33.203
14.16,24.902,4.883,7.812,4.883
32.715,27.344,17.09,13.672,-19.531
39.551,36.133,39.551,17.09,39.551
23.438,39.062,27.344,20.996,47.363
12.695,33.203,-5.371,18.555,-4.883
17.578,36.133,-14.16,15.137,62.988
32.715,34.668,-18.066,29.297,54.199
42.969,31.25,12.207,43.457,69.336
32.227,34.18,34.668,41.016,75.684
16.602,33.691,15.625,32.715,67.383
14.16,31.738,-12.207,24.902,34.668
27.344,30.273,-16.113,27.344,-25.391
39.062,37.109,12.207,37.109,-12.695
31.25,41.016,5.859,36.621,1.465
18.066,41.992,-25.391,29.297,15.137
13.184,41.504,-41.992,19.043,-3.906
26.855,38.086,-29.785,18.555,-43.457
41.992,44.922,-4.395,26.367,-37.598
31.25,50.293,-2.93,28.32,2.93
17.09,41.992,-18.066,24.902,20.996
9.766,36.133,-24.902,17.578,-30.273
15.137,36.133,-16.602,15.137,46.387
32.227,37.109,-23.438,19.531,76.66
26.855,43.457,-10.742,23.438,39.551
16.602,41.504,-5.859,20.508,76.172
11.719,34.18,-31.25,9.277,94.727
20.996,34.668,-37.598,13.672,32.227
42.969,39.062,-14.648,27.832,4.883
38.086,39.551,3.418,28.809,16.113
20.02,33.691,-10.742,21.484,14.16
9.766,33.691,-19.043,13.672,98.145
16.602,35.645,-22.949,15.625,116.699
32.715,31.738,-22.949,20.02,-13.672
28.32,37.598,11.23,22.461,-25.391
20.508,45.898,19.043,28.32,-14.648
13.184,42.969,11.23,21.484,-38.086
11.23,37.598,12.695,11.719,-32.715
31.738,39.551,16.113,21.484,-51.27
38.574,41.016,34.18,30.762,-24.414
20.996,36.621,24.902,26.367,41.016
4.883,29.785,0.488,15.137,52.734
2.93,26.855,-1.953,6.836,111.816
22.461,32.227,-0.977,13.184,67.383
32.227,35.645,5.371,16.113,-29.785
21.484,36.621,6.836,11.23,-26.367
9.277,37.598,-0.488,5.371,53.223
3.906,32.227,-9.277,-0.977,43.945
26.855,14.16,3.418,18.555,-63.965
64.941,20.996,30.273,53.711,-72.266
44.434,41.016,19.531,35.156,-24.902
-8.301,37.598,-9.766,-11.719,14.16
-10.742,36.133,-20.02,-29.297,24.902
14.648,42.969,-32.227,-26.367,39.551
15.137,51.27,-18.555,-31.25,65.918
-0.488,54.688,-3.418,-39.551,51.27
-11.719,53.711,-41.992,-48.34,14.648
-18.555,56.152,-38.086,-62.5,0.977
-13.672,51.758,-13.672,-61.523,98.633
-7.324,48.828,-6.836,-49.316,132.324
-10.254,50.293,8.789,-33.203,51.758
-16.602,49.316,2.441,-33.203,6.836
-17.09,53.223,-9.277,-37.598,30.273
0.977,53.711,-6.348,-27.344,66.895
17.09,54.688,15.625,-16.602,33.691
9.277,60.059,30.762,-13.672,81.543
-2.93,55.664,10.742,-18.066,109.375
-5.859,48.828,-12.207,-25.879,47.852
12.695,47.852,-12.207,-22.461,19.043
28.809,49.316,13.184,-9.766,-7.812
19.531,51.758,45.898,-4.883,33.203
8.789,54.199,30.762,-2.93,65.918
3.906,48.828,0.488,-6.348,22.461
16.602,45.41,-11.719,-12.207,37.109
32.227,46.387,-3.418,-5.859,-6.348
26.367,48.34,24.414,0.488,-46.875
19.043,55.664,40.527,3.418,8.301
12.695,53.711,38.086,-1.953,-11.719
14.648,48.828,32.715,-6.348,-10.254
32.227,49.805,52.246,6.348,-6.836
30.762,47.852,68.848,13.184,28.32
20.996,48.828,61.523,8.789,67.871
16.113,48.34,43.945,0,8.301
22.949,44.922,29.785,-3.418,4.883
41.992,46.387,24.902,7.812,27.344
41.016,54.199,52.734,18.555,49.316
30.762,57.129,63.965,20.996,31.25
23.438,49.316,41.016,8.789,22.949
22.461,43.457,21.484,-1.465,58.594
38.086,45.898,31.25,7.812,32.715
46.387,51.758,63.965,18.066,46.875
36.133,50.293,52.734,19.531,45.41
17.578,40.527,31.738,7.812,-7.324
15.137,36.621,36.133,-0.488,48.828
38.574,36.133,36.133,8.789,64.941
47.852,37.109,55.176,17.09,2.441
34.18,41.016,82.031,19.531,-20.02
24.414,39.062,66.406,16.602,-1.953
24.902,41.504,40.039,11.23,23.926
36.621,45.898,45.41,10.742,24.902
46.875,49.805,80.078,20.996,13.672
45.41,51.27,82.031,25.391,27.344
37.598,48.34,57.617,19.043,30.273
33.203,50.781,49.805,12.695,58.105
41.504,53.711,44.922,9.277,123.535
52.734,55.176,55.664,13.672,61.523
44.922,60.059,65.918,18.066,21.484
29.785,52.734,33.203,15.137,45.898
29.785,49.316,6.836,10.742,14.648
42.48,51.27,-7.324,9.766,3.418
58.105,46.875,7.812,19.531,-8.301
49.805,47.852,46.875,22.949,-3.906
32.227,44.434,33.203,17.578,-10.254
24.902,39.551,16.113,14.648,-30.762
31.738,35.645,25.391,21.484,33.691
49.805,31.25,41.504,26.367,61.035
47.363,27.832,49.805,29.297,17.09
30.762,29.785,40.527,28.32,-11.23
19.043,34.18,29.297,16.602,-30.762
25.879,35.156,36.133,10.254,-16.113
39.551,32.715,32.715,20.02,13.672
34.668,33.203,57.617,31.25,35.645
27.344,31.25,55.176,31.738,79.102
22.461,25.391,14.648,27.344,24.414
31.25,28.32,15.137,21.484,-15.625
45.41,34.18,36.133,25.879,52.246
41.504,35.645,42.48,33.203,85.449
36.133,27.344,27.344,34.668,52.246
27.832,22.461,-1.465,27.832,-23.438
18.066,28.32,-1.953,2.441,-5.859
33.203,36.621,13.672,0.488,53.223
42.48,41.016,33.691,17.09,7.324
30.273,39.062,50.781,24.414,2.93
22.949,40.039,36.133,19.531,39.551
24.902,38.086,19.531,13.672,49.805
40.527,32.227,23.926,24.414,42.969
45.898,34.668,42.48,36.133,24.414
39.062,41.016,44.922,40.527,40.039
28.32,37.598,29.785,36.621,-41.992
27.344,35.645,18.555,29.785,-48.34
44.434,34.668,8.301,32.715,29.785
53.711,34.668,26.855,40.527,-4.395
48.34,44.922,49.316,41.504,22.949
39.062,47.363,30.762,33.691,113.281
34.18,41.016,4.883,25.879,31.25
45.41,38.086,20.02,28.809,5.371
55.664,45.41,49.805,37.598,104.492
42.48,49.805,39.551,36.621,71.777
30.762,46.875,34.668,27.832,28.32
27.344,43.945,33.691,18.066,4.395
37.109,41.504,40.039,21.484,88.379
52.246,47.363,53.711,32.227,110.352
41.992,54.199,43.457,39.062,24.902
30.762,55.176,29.785,37.109,52.734
27.832,54.688,22.949,27.832,65.918
39.062,55.664,11.719,27.832,41.016
56.641,57.617,20.02,34.18,41.992
50.293,62.5,41.016,36.621,-23.438
39.551,64.453,35.645,34.668,-16.113
35.156,57.617,10.254,25.391,4.395
45.41,56.152,4.883,23.438,16.113
65.43,61.035,19.531,38.574,28.809
54.199,59.57,35.156,44.434,1.465
38.574,54.199,19.043,38.574,42.969
34.668,53.223,-16.602,33.691,20.996
40.039,52.734,-12.207,30.762,45.898
59.57,59.57,24.902,37.109,47.852
58.105,70.312,45.41,39.551,-14.648
41.992,73.73,39.551,33.203,-2.441
33.691,70.801,31.738,26.855,18.066
40.039,66.895,18.555,18.555,-19.531
57.129,67.871,28.809,28.32,-8.301
57.129,70.801,53.223,40.527,-6.348
41.016,68.848,43.457,35.645,-38.086
29.785,65.918,20.02,27.832,12.695
29.297,64.941,6.836,22.461,51.758
43.945,63.965,29.785,26.855,40.039
47.363,62.5,60.547,31.738,13.184
33.691,57.617,57.617,28.809,4.395
22.461,51.758,36.621,24.414,40.527
26.367,57.129,24.414,21.973,42.48
47.852,60.059,32.227,32.715,52.734
60.059,58.105,44.434,38.574,80.078
51.27,61.523,68.848,40.527,31.738
35.156,58.594,61.035,34.18,30.762
30.762,54.688,30.762,28.32,-12.207
46.387,57.617,43.945,38.086,-14.648
55.176,60.547,74.219,47.852,23.926
45.41,56.152,63.477,47.363,-10.254
30.762,54.199,50.293,34.668,68.359
21.484,57.617,35.645,22.949,104.492
34.668,55.176,11.719,30.762,74.707
51.27,56.641,24.902,42.969,-9.766
39.551,61.035,50.781,41.016,-21.973
22.949,54.688,34.18,33.691,42.48
17.578,53.711,18.066,30.273,10.742
30.762,57.129,25.391,30.762,0.977
41.504,57.617,49.316,36.133,26.367
36.621,59.57,51.758,40.527,40.527
30.762,60.059,23.438,37.109,-3.906
22.949,60.059,-0.977,28.809,22.461
33.203,57.617,-2.93,28.809,47.852
44.434,58.105,23.926,32.715,-41.504
25.879,57.129,44.922,27.344,-4.395
15.625,53.223,20.996,21.973,27.344
11.719,57.129,11.719,12.695,5.859
18.066,57.129,31.738,10.254,53.223
43.945,56.641,36.621,22.461,56.152
42.969,62.012,53.223,35.156,51.27
31.25,57.617,56.152,35.645,27.832
27.344,52.734,45.41,28.32,45.898
32.715,54.199,40.527,26.855,36.621
51.758,54.688,49.805,37.109,-1.953
53.223,53.223,77.637,44.434,49.805
40.039,48.828,78.125,41.504,20.996
29.785,49.805,61.035,34.668,18.066
35.156,50.293,52.246,28.809,69.824
50.293,42.969,43.945,33.203,43.945
43.457,42.48,49.316,35.156,41.992
30.273,47.363,35.645,34.18,25.879
27.344,44.434,3.906,27.832,-31.738
30.273,39.062,-6.348,24.414,-30.762
47.363,44.922,11.719,34.18,-9.766
51.27,49.805,39.551,42.48,43.945
36.133,43.945,21.484,40.039,97.168
24.414,43.457,-2.441,28.809,38.086
22.949,46.875,10.254,22.461,47.852
39.062,41.016,11.719,27.344,42.969
46.387,41.504,14.16,29.297,7.812
35.645,46.875,3.418,29.297,-34.668
25.879,46.387,-18.555,23.926,9.277
26.855,47.363,-14.648,17.578,111.816
49.805,45.41,-24.414,28.32,56.152
60.059,46.875,-15.625,37.109,9.277
48.34,54.199,13.672,36.133,44.922
38.574,53.223,-13.672,29.785,53.711
35.645,50.781,-39.551,18.555,28.809
48.34,53.223,-24.414,21.973,34.668
55.176,55.176,3.906,32.227,66.895
47.852,55.176,30.273,32.715,66.895
37.598,55.176,-1.465,29.785,33.691
28.809,56.152,-30.273,25.391,0
42.48,53.223,-13.672,26.855,26.367
61.523,51.27,20.02,38.086,45.41
52.734,52.734,36.621,41.504,52.734
38.086,53.223,15.625,31.25,73.73
27.344,50.293,5.371,22.949,101.074
37.598,43.457,-7.324,24.902,90.82
51.758,42.969,-5.859,37.109,21.973
36.621,48.828,16.602,43.945,15.137
23.926,56.641,16.602,44.922,34.668
19.531,57.129,2.93,38.086,33.691
30.762,53.223,7.324,32.715,22.949
46.387,48.828,3.418,41.016,2.441
38.574,48.828,7.812,43.457,7.324
28.32,54.688,25.391,40.039,47.852
26.855,56.152,0.977,34.668,15.137
34.18,55.176,-7.812,33.691,28.32
50.781,57.129,10.742,40.039,77.637
43.457,59.082,22.461,37.109,10.254
27.344,52.246,14.16,32.227,-20.996
16.602,48.34,16.602,25.391,40.527
17.578,47.363,21.973,22.949,-4.883
39.551,47.852,22.461,25.879,-5.859
42.969,51.758,40.039,31.738,39.062
30.273,49.805,55.176,30.273,39.551
17.09,43.945,32.715,19.043,45.41
20.02,42.969,13.184,17.578,0.977
40.527,47.363,33.203,29.785,22.949
41.504,51.27,54.199,40.039,39.062
29.297,48.34,46.875,37.598,39.062
23.926,44.922,22.461,28.809,28.32
23.926,44.434,6.836,27.832,6.348
39.062,41.992,7.324,35.645,4.395
52.734,44.434,23.926,41.504,13.184
42.48,50.781,51.27,41.016,40.527
25.879,44.434,24.902,36.621,35.645
24.414,37.109,-1.953,31.738,-17.09
41.016,38.574,18.066,32.715,-39.062
54.688,44.922,41.504,41.016,35.156
44.922,46.875,41.992,41.504,69.824
32.715,49.316,25.391,35.645,67.871
29.785,51.758,10.742,28.809,31.738
41.016,51.27,11.719,26.855,-7.324
56.641,45.898,28.32,36.621,-22.949
47.363,43.457,37.109,39.062,-48.828
27.832,46.875,37.598,28.809,-21.484
25.391,47.363,32.715,21.484,36.133
42.48,43.945,17.578,24.902,17.578
51.758,44.922,29.785,32.227,15.625
39.551,51.27,45.41,35.156,-12.207
29.785,49.316,26.855,34.668,-18.066
26.855,51.27,10.742,24.414,22.461
40.039,57.129,11.719,19.043,58.105
50.781,51.758,5.859,24.902,24.902
41.992,54.688,17.578,27.832,34.18
34.668,58.594,7.324,22.949,67.383
28.809,57.129,-15.625,11.719,23.438
35.156,64.453,4.395,14.648,9.277
50.781,62.5,6.348,25.391,14.648
54.199,60.059,22.461,26.855,3.418
40.039,59.57,40.039,25.879,27.832
30.762,57.129,13.184,19.043,43.945
39.062,58.105,-2.93,13.672,7.812
51.758,59.082,17.09,21.484,23.438
55.664,59.082,21.973,28.32,18.066
48.828,55.664,16.113,28.32,-60.547
36.621,56.641,17.09,19.531,7.812
41.504,59.082,-7.812,14.16,70.312
61.523,55.664,-17.09,20.508,34.668
56.152,59.082,16.113,30.762,49.316
43.945,63.477,31.25,37.109,41.016
36.133,56.152,2.441,21.484,-4.395
31.25,52.246,-5.371,4.883,-33.691
49.316,57.129,12.695,13.184,-2.441
53.711,59.082,33.691,27.832,3.906
37.598,54.688,20.996,26.855,-41.504
29.785,51.27,-4.395,18.555,1.465
35.645,55.664,-10.742,13.672,114.258
48.828,51.27,-16.602,20.02,101.562
49.316,43.457,-6.348,32.715,79.59
41.504,44.922,-1.465,34.668,64.941
29.297,42.969,-13.184,24.414,11.23
22.949,41.992,-1.953,16.113,15.137
40.039,40.527,1.953,17.578,54.199
45.898,40.039,1.953,26.367,38.574
32.227,44.434,19.531,31.738,-6.348
19.531,33.691,8.301,32.715,2.441
15.625,31.738,-10.254,27.832,20.996
55.176,45.898,-19.531,39.551,-15.137
72.754,46.387,3.906,53.223,-12.207
37.598,40.527,20.996,40.039,-26.855
19.531,33.203,-1.953,33.691,-34.668
9.766,27.832,-16.602,36.621,17.09
21.484,26.855,-14.16,36.621,16.602
38.086,26.855,17.578,43.457,53.711
32.227,27.832,39.062,55.664,46.387
