TP9,AF7,AF8,TP10,Right AUX
20.508,12.207,25.391,11.23,15.137
-1.465,15.625,35.156,-0.488,-2.93
-0.977,15.625,36.133,4.883,-24.414
25.879,15.625,34.18,4.883,6.836
31.738,16.113,27.344,9.766,32.715
17.09,14.648,19.531,12.207,34.668
4.395,12.695,20.02,0,17.578
-5.859,12.207,23.438,-4.395,39.551
18.066,15.137,25.879,5.859,38.574
37.598,15.625,22.461,17.578,20.996
27.832,14.16,17.578,11.719,34.18
5.859,18.066,23.438,9.277,51.758
-9.277,16.602,21.973,4.883,41.504
13.184,14.16,19.531,1.953,11.23
38.086,12.695,21.973,22.949,22.461
32.227,9.277,20.02,23.438,37.598
19.531,9.766,20.996,6.348,14.16
1.465,2.93,28.809,13.184,-19.043
18.555,2.93,35.645,32.715,-12.207
48.828,18.555,31.25,27.832,58.105
35.645,21.973,18.066,12.695,24.414
7.324,19.043,17.09,-1.953,-11.23
0.488,19.531,17.09,-5.371,16.602
19.531,25.879,12.695,5.371,26.367
39.062,35.645,5.859,11.719,54.199
36.621,33.691,1.465,11.719,29.297
9.766,30.273,0.488,-6.348,7.812
-16.602,27.344,-8.789,-19.043,22.949
-3.906,24.902,-13.672,-14.648,34.18
24.414,23.438,-11.719,-4.395,9.277
18.066,22.461,-13.184,8.789,-17.578
0.488,25.879,-9.766,7.324,-18.555
-17.578,26.367,-5.859,-7.324,8.301
-15.625,23.926,-8.301,-9.277,44.922
19.043,22.461,-11.23,-2.441,66.895
29.785,22.461,-17.09,11.23,33.203
14.648,24.902,-18.066,22.461,62.5
-1.465,26.367,-19.531,8.301,74.707
-3.906,26.855,-20.508,-3.906,21.484
21.973,26.855,-20.996,5.859,13.184
25.391,24.414,-18.555,16.602,2.441
9.277,21.973,-15.625,18.066,-17.09
-2.93,14.16,-15.137,8.301,-5.859
-14.648,11.23,-9.766,-4.883,18.066
5.371,15.137,-3.906,4.395,47.363
18.555,12.207,-7.812,19.531,73.242
4.883,8.789,-10.254,12.695,23.438
-7.324,9.277,-2.93,3.418,0
-11.23,12.207,-5.371,4.395,0.977
9.766,15.625,-6.348,5.371,65.918
30.273,15.137,-9.766,9.277,59.57
23.438,19.043,-15.625,9.277,9.766
3.418,23.926,-19.531,-2.93,4.395
-16.113,21.484,-21.973,-11.719,12.695
4.395,19.531,-13.184,-5.371,63.477
31.25,17.578,-9.277,3.906,36.133
15.625,17.578,-6.348,7.812,-3.906
-0.977,19.531,-2.93,3.418,56.641
-7.324,18.066,-5.859,-3.906,68.848
4.883,17.09,-3.418,-2.441,28.32
30.762,17.578,-1.953,4.883,25.879
27.832,14.648,-2.441,11.23,11.719
12.207,11.719,-3.906,5.371,1.953
-1.465,11.719,-6.836,-6.348,-4.883
0.977,9.277,1.465,-2.93,30.762
30.762,12.695,8.301,13.672,20.02
28.809,17.09,9.277,23.438,-31.738
10.742,14.648,9.766,20.508,39.551
-5.859,11.719,4.883,9.277,-22.461
-1.953,9.766,8.301,0.488,-92.773
30.762,9.766,14.16,12.207,-26.855
27.344,9.277,10.742,13.184,4.395
10.742,10.254,8.789,10.254,0.488
7.812,11.719,8.789,4.883,-18.555
7.812,12.207,11.719,-9.277,31.25
29.297,13.184,14.16,2.93,42.969
28.32,13.184,12.207,15.137,1.465
8.789,11.23,9.766,8.301,15.625
-7.324,10.254,14.648,2.441,21.484
-5.859,14.648,14.648,-2.93,-36.133
22.461,18.555,13.672,-5.371,-29.297
30.273,15.625,14.16,10.254,26.367
6.836,10.254,9.766,16.602,-26.855
-7.812,8.301,6.836,5.371,3.418
-2.441,13.184,7.324,1.953,103.516
24.414,15.137,7.812,20.508,76.66
37.109,11.719,4.395,27.832,11.23
20.02,14.16,7.324,17.578,-6.836
11.23,18.066,9.766,16.113,-21.484
5.859,19.043,11.23,15.625,0
17.578,21.973,14.648,14.648,-11.23
33.691,23.438,17.578,19.531,20.996
22.949,24.902,20.02,17.578,41.504
9.277,27.344,21.973,18.555,27.832
-8.301,24.902,15.625,13.184,47.852
0.488,22.949,11.719,5.371,-0.488
28.809,20.02,12.695,12.695,12.207
20.508,13.672,11.23,14.648,9.277
-0.488,14.648,14.16,9.277,-10.254
-16.113,17.578,15.137,2.441,40.527
-5.859,18.066,13.672,-4.883,63.965
25.879,19.043,14.16,13.184,-22.461
22.949,19.043,18.555,20.996,-2.441
6.348,17.578,26.367,13.672,81.543
0,12.695,26.367,10.254,26.367
2.93,12.207,29.785,1.465,38.574
25.391,12.207,29.297,18.066,58.105
22.461,9.766,25.391,29.297,-50.781
11.719,15.137,27.344,14.16,-42.969
-8.789,20.02,26.367,2.441,12.207
-11.23,17.09,21.973,3.418,10.742
26.855,16.602,20.508,15.137,62.988
31.25,19.043,16.113,20.996,38.574
16.602,20.508,14.16,20.996,1.465
6.836,20.508,15.137,14.648,13.184
3.906,20.508,18.555,7.324,28.32
32.227,21.973,16.602,13.184,41.016
38.086,20.996,13.184,22.949,83.984
25.391,20.02,20.02,23.438,83.008
14.16,20.02,17.578,15.137,42.48
