TP9,AF7,AF8,TP10,Right AUX
55.664,1.465,-362.793,31.25,26.855
52.246,5.859,-116.211,30.762,49.316
47.852,10.254,-412.598,29.297,52.246
37.109,8.301,-788.086,31.738,-9.766
43.945,3.906,-815.43,25.879,-60.059
51.758,4.883,-562.5,20.996,-78.125
55.176,4.395,-336.426,20.996,-54.199
43.457,2.93,-431.641,22.461,25.391
28.809,4.395,-614.258,27.344,54.199
33.203,8.789,-594.727,18.066,27.832
39.062,14.648,-536.621,4.395,25.879
52.734,14.16,-281.25,14.648,17.578
40.527,14.648,-218.75,16.602,-2.441
24.902,17.578,-559.57,7.812,8.301
34.668,10.742,-586.426,9.766,47.852
46.387,9.277,-316.406,16.113,67.871
49.316,11.719,-23.926,19.531,78.125
38.574,1.465,-244.141,16.113,91.309
20.508,-4.883,-693.848,12.695,42.48
29.297,0.977,-702.637,13.672,26.855
50.293,3.906,-423.34,10.254,15.625
56.152,2.93,-16.602,8.301,27.344
45.41,0.977,-44.434,14.648,25.879
36.133,2.93,-465.332,17.578,0.977
35.645,6.836,-519.531,9.277,23.926
36.133,2.93,-468.75,6.348,-7.324
46.387,2.93,-233.398,6.836,-12.695
38.574,4.883,25.879,5.371,17.09
17.578,1.953,-283.203,3.906,40.039
17.09,3.906,-539.551,6.348,25.879
35.156,7.812,-464.355,8.301,19.043
40.527,9.277,-156.738,11.23,9.277
34.18,9.766,104.492,12.695,-22.949
24.902,11.719,-160.645,1.953,17.09
26.855,11.719,-406.738,0,48.828
44.434,13.184,-200.195,7.324,61.523
46.875,15.625,171.387,12.207,78.613
46.387,13.672,281.25,15.625,92.773
37.598,13.184,-132.812,8.301,40.039
26.367,18.066,-392.578,1.465,0.488
42.969,16.602,-250.488,5.859,40.527
49.805,12.207,-40.527,5.859,-0.488
41.504,12.695,83.984,6.348,-14.16
32.715,13.184,-28.32,9.277,63.965
29.785,13.672,-215.332,2.93,51.758
41.016,13.672,-205.566,-0.488,-13.184
49.316,15.137,-58.105,4.883,23.926
43.457,14.16,199.219,8.789,6.348
28.32,13.672,44.434,10.254,-58.594
17.578,14.648,-214.355,11.719,-17.578
31.25,14.16,-67.871,12.207,36.621
42.48,16.602,173.828,11.719,-3.906
44.434,21.484,449.707,13.672,26.367
31.25,17.578,150.879,12.207,63.965
11.719,13.672,-218.262,6.348,60.547
18.555,13.184,-39.062,5.859,40.527
30.273,12.207,70.801,8.301,35.156
34.18,16.113,256.836,9.277,28.809
19.531,18.555,334.961,8.301,3.906
1.953,14.648,24.414,3.906,26.367
15.137,15.625,-1.465,-0.488,41.992
36.621,18.555,270.508,2.441,42.48
41.504,20.02,475.098,8.301,4.883
25.391,19.043,288.574,5.859,-33.203
17.578,19.043,-4.395,4.883,-22.949
23.926,20.508,-88.379,6.836,-4.883
37.109,19.043,173.828,9.766,33.203
46.387,19.043,584.473,5.859,61.035
39.062,21.973,512.207,6.836,13.672
25.879,22.461,118.164,13.672,18.066
30.762,25.391,9.277,15.137,-26.367
49.805,28.32,113.77,9.766,-25.879
54.199,21.973,378.418,12.695,50.781
39.062,18.066,545.41,20.02,26.367
24.902,19.531,260.254,15.625,61.523
25.879,20.508,99.609,13.184,83.008
36.133,21.484,245.117,16.602,77.637
36.133,21.973,453.125,19.531,70.801
22.949,18.555,419.922,20.996,54.199
14.648,15.137,141.602,12.695,65.43
22.461,19.531,86.426,8.789,58.105
34.18,22.461,192.871,8.789,50.781
36.133,23.926,428.711,6.348,27.832
26.367,22.461,522.949,5.371,-53.711
9.766,18.555,204.59,0.488,-34.18
10.742,19.043,40.527,-0.488,34.18
23.438,19.043,120.117,1.465,41.016
33.691,18.066,267.09,0.977,28.809
42.48,21.973,484.863,4.883,11.719
28.809,22.949,214.355,5.371,22.461
14.648,18.555,-104.98,2.93,29.785
25.391,19.043,92.773,3.906,19.043
38.086,17.09,249.512,9.277,40.039
36.133,16.602,441.406,0.488,46.875
28.32,20.996,361.328,-4.395,22.461
19.531,19.531,-13.672,-2.93,-23.926
23.438,19.531,22.461,-3.906,-29.297
40.039,21.973,318.359,7.324,-7.324
44.922,21.484,519.043,4.883,16.113
38.574,20.996,284.668,-4.395,36.621
31.25,25.391,-95.215,-0.977,16.602
39.551,21.973,-99.121,0.977,62.5
55.176,20.996,-31.738,4.395,8.789
63.965,26.367,244.629,11.23,2.441
43.945,20.996,328.125,8.301,-1.953
31.25,20.996,-32.715,4.395,-16.602
