TP9,AF7,AF8,TP10,Right AUX
53.223,23.926,14.16,0.977,4.883
45.41,20.996,14.16,5.371,35.156
34.18,19.043,5.371,4.395,64.941
28.32,18.066,-7.812,1.953,29.785
35.645,19.531,2.93,1.953,-7.812
48.34,20.02,12.695,9.277,24.902
41.992,18.555,12.207,12.695,70.312
35.156,19.531,16.113,8.789,73.242
34.668,21.973,20.996,6.348,12.207
42.48,21.484,15.137,5.859,14.16
55.176,23.438,17.09,11.719,97.168
53.223,25.879,8.301,16.602,103.027
45.41,25.879,-4.883,10.254,-32.715
33.203,26.367,-3.418,1.465,-32.715
33.691,29.297,3.906,-1.953,53.711
50.293,29.297,20.996,-1.953,60.547
50.781,23.438,30.273,4.395,69.336
40.527,23.926,13.184,6.836,34.18
30.273,24.902,-5.859,-11.719,6.836
28.809,25.879,-2.93,-21.484,4.883
44.434,29.785,15.137,-12.207,-1.465
47.852,27.832,8.789,-6.836,15.625
36.133,25.879,-9.277,-5.371,-62.988
26.855,28.809,7.324,-9.766,-79.59
28.809,31.25,9.277,-13.184,8.301
42.969,32.227,7.324,-7.812,41.992
44.922,30.273,2.93,-0.977,7.812
37.598,32.227,-6.836,4.883,10.742
32.715,31.738,-2.93,7.812,60.059
32.227,26.855,-3.906,3.418,31.738
48.34,24.902,2.93,7.324,43.945
61.035,24.414,6.836,18.555,58.105
47.363,27.832,5.371,17.09,-2.93
39.062,32.227,11.23,12.695,4.395
37.598,31.738,3.906,7.812,42.969
42.48,27.832,0.488,2.441,13.184
52.734,25.879,6.836,12.207,17.578
43.945,25.879,-10.254,14.16,52.734
37.598,23.926,-11.23,8.301,38.574
35.156,25.391,3.906,7.324,13.184
37.109,26.367,7.812,0,29.785
49.316,26.367,8.789,5.371,58.105
46.387,29.297,-2.93,7.812,7.812
35.156,29.785,0,3.906,9.277
28.809,27.344,7.324,2.441,77.148
37.109,25.879,-7.812,-6.348,48.34
59.082,26.367,-6.836,1.465,-50.293
54.199,30.762,0,9.277,-11.23
38.086,31.25,-2.93,4.395,87.891
34.668,29.297,-8.789,0.977,88.379
40.527,30.762,-16.602,0.488,-10.742
54.199,30.762,-7.324,5.859,-12.695
52.734,25.391,-1.953,10.254,13.672
41.016,23.926,-5.859,6.836,41.504
33.203,25.391,-10.742,-1.953,64.453
32.715,27.344,-9.766,-7.324,48.34
42.969,30.273,3.906,-1.953,-8.301
44.434,28.32,3.906,1.953,-20.508
33.203,28.32,8.789,-4.883,-8.301
23.926,28.809,22.461,-14.648,-7.812
19.043,24.414,9.766,-25.391,-11.719
34.668,25.879,20.02,-18.066,-20.508
41.992,31.25,22.461,-7.324,-23.926
26.367,28.809,11.23,-11.719,-35.156
21.973,26.367,19.043,-18.066,41.016
17.09,26.855,8.301,-24.414,71.777
28.809,28.809,10.254,-21.973,12.695
42.969,27.344,23.438,-15.625,10.254
39.062,29.297,14.16,-14.648,-2.441
36.133,33.691,24.902,-21.973,12.207
28.809,32.227,28.32,-26.367,42.48
41.504,30.762,19.043,-18.066,34.18
57.129,32.227,20.996,-2.441,11.719
46.387,32.227,16.602,1.953,80.078
38.574,30.762,3.418,-4.883,71.289
33.203,33.691,-6.348,-11.719,8.301
41.504,36.133,4.395,-11.23,45.898
53.711,33.691,12.207,0,27.344
41.504,33.203,7.812,1.465,35.645
30.273,36.621,10.742,-9.277,16.602
27.832,35.645,13.672,-18.555,19.043
37.598,31.25,3.906,-19.531,17.578
45.41,31.738,10.742,-14.648,3.418
33.691,30.273,12.207,-15.137,38.574
23.438,29.297,4.883,-17.578,32.715
16.602,29.297,1.465,-29.785,20.996
31.25,31.738,-3.906,-28.809,24.902
56.641,32.227,1.953,-3.906,73.73
34.668,23.926,14.648,-13.184,79.102
9.766,20.996,1.953,-33.203,42.969
14.648,21.973,-0.488,-25.879,55.664
23.926,18.066,16.113,-18.066,64.941
32.715,15.625,39.062,-8.301,-2.441
30.273,16.602,42.48,-5.371,20.996
15.625,19.531,37.109,-10.254,41.992
5.371,17.578,27.832,-9.766,-1.465
10.254,14.16,11.719,-9.766,13.184
27.344,17.09,33.691,-0.977,26.855
41.504,18.066,39.062,13.184,5.371
34.18,18.555,28.32,11.719,22.461
19.043,20.02,30.273,4.395,17.09
24.902,22.461,19.531,2.93,-7.324
43.457,27.832,30.762,8.301,-18.066
50.781,30.273,27.832,13.184,-6.348
37.109,30.762,13.184,9.277,23.438
23.926,31.25,19.043,-0.977,55.176
25.879,30.273,9.766,-6.348,58.594
37.598,29.785,15.625,-3.418,19.531
38.574,28.809,22.949,1.465,-39.551
24.414,27.832,15.625,-0.488,-3.906
13.672,28.809,17.578,-10.254,-9.766
12.695,28.809,24.414,-13.184,-42.48
24.414,25.879,28.32,-12.695,-14.16
34.18,24.902,34.668,0.977,22.949
32.227,24.902,34.668,6.836,40.039
29.785,26.855,34.18,-2.441,-28.32
29.785,28.32,35.156,-3.906,-25.879
42.969,29.297,38.086,1.465,-3.418
60.059,34.668,39.062,16.602,47.363
59.082,35.645,31.25,25.879,62.5
50.293,35.156,27.344,22.461,8.301
43.457,37.598,22.461,13.184,60.547
45.898,31.738,16.113,9.766,48.34
50.293,27.832,23.926,15.625,-9.766
39.062,24.902,36.133,23.438,49.316
28.32,20.508,21.484,16.602,-16.113
18.066,22.949,16.113,1.465,-8.301
26.855,23.926,31.738,-2.441,101.562
46.387,25.879,44.922,1.465,53.223
43.457,26.367,29.297,4.395,-13.672
32.715,24.414,20.02,1.465,-15.625
24.414,26.855,23.926,-8.789,22.461
32.227,29.785,13.672,-13.184,36.621
49.316,30.762,29.297,-4.883,58.594
43.945,28.32,35.645,-0.977,67.383
29.785,25.391,29.297,-4.883,46.875
20.996,24.414,25.391,-9.277,45.898
22.461,20.508,18.066,-16.602,17.09
38.574,19.531,28.809,-13.184,3.906
42.48,24.902,35.645,-1.465,7.812
36.133,30.273,30.273,-0.488,-23.926
28.32,31.25,20.508,-8.301,11.23
28.32,29.785,7.812,-15.137,52.734
42.48,31.25,11.719,-8.789,41.992
43.945,27.832,7.324,-1.953,14.16
29.785,26.367,4.883,-7.324,-38.574
24.414,29.297,11.719,-14.648,4.883
24.902,27.344,7.812,-14.16,6.836
43.457,26.367,12.207,1.465,-42.969
55.664,35.645,8.789,10.254,-8.301
38.574,42.48,7.812,-6.348,-24.414
27.832,40.527,15.625,-16.602,-49.316
32.227,37.598,9.277,-20.996,-41.504
53.223,36.133,12.695,-17.09,-17.578
58.594,34.18,12.207,-9.766,-40.527
51.27,33.691,-10.254,-10.254,-13.672
42.969,34.18,-5.371,-12.207,-10.254
36.621,29.785,6.348,-12.207,-38.574
54.688,27.832,14.16,-12.207,-0.977
68.359,31.25,29.785,-5.859,8.301
59.57,31.738,26.855,3.418,2.441
44.922,32.715,20.02,1.953,-36.133
40.039,36.621,10.742,-6.348,-10.742
50.293,37.598,14.648,-4.883,46.387
61.035,34.18,33.691,7.324,25.391
60.547,30.273,20.02,15.137,47.852
52.246,27.832,7.324,3.906,35.156
38.574,29.785,15.625,-7.324,28.32
41.992,32.227,2.441,-12.695,14.16
57.617,34.18,-2.93,-11.23,31.738
54.688,35.156,-1.465,-4.395,94.238
42.969,31.25,-12.695,-7.324,17.09
38.086,31.738,-23.438,-13.184,-10.254
41.504,32.715,-25.391,-14.648,41.992
55.664,31.738,0.488,-8.789,36.621
54.199,30.762,4.883,-1.465,1.953
42.48,32.227,-5.371,-6.836,1.953
37.109,32.715,4.883,-18.555,60.547
39.551,28.32,0.977,-19.531,83.496
54.688,30.762,-2.441,-9.766,46.875
58.594,32.715,1.465,-5.371,37.598
47.363,33.691,6.836,-6.836,62.012
37.109,30.273,0,-13.672,35.645
35.645,27.344,-7.324,-20.02,-12.207
52.734,30.273,1.953,-10.254,-17.578
54.199,26.855,-2.441,-4.395,-3.418
35.645,24.902,0,-7.812,13.672
29.297,27.832,13.672,-11.23,15.137
30.762,28.32,4.395,-13.672,3.418
45.41,26.367,11.23,-13.672,13.184
52.246,20.996,19.531,-6.348,55.664
39.062,19.531,8.301,0,62.988
24.414,22.461,1.465,-6.348,34.18
22.461,22.949,2.93,-15.137,6.836
38.574,19.531,9.277,-11.719,34.18
44.434,11.23,4.395,2.441,13.184
32.227,8.301,-2.93,5.371,-32.715
25.879,11.23,-5.371,2.93,4.395
17.09,10.742,-6.348,-4.395,68.359
24.902,6.836,4.883,-12.695,76.172
39.551,6.348,9.766,-2.93,45.41
28.32,9.277,-5.371,-1.465,23.926
16.113,14.16,2.93,-9.766,-32.227
15.625,15.137,10.254,-11.23,-90.82
28.809,8.301,14.16,-10.742,-67.871
42.969,6.348,21.484,-0.977,38.086
33.691,10.254,12.695,5.371,26.855
25.879,9.766,12.207,1.953,-17.09
25.879,5.859,5.859,-5.859,0.488
30.762,7.812,4.395,-11.23,4.883
43.945,11.719,22.949,-0.488,33.203
40.527,12.695,22.461,8.789,29.785
23.438,13.184,12.207,2.93,-5.859
18.555,11.23,6.836,-3.906,-4.883
26.367,6.836,10.742,-6.348,-13.184
41.016,7.324,23.438,2.93,17.09
42.48,7.324,6.348,14.648,-8.301
33.691,8.301,2.441,7.324,-42.48
25.879,10.254,15.625,-4.395,24.414
34.668,14.16,4.395,-6.836,-40.527
51.27,16.602,16.602,-0.488,-95.215
49.805,15.137,12.695,7.812,-6.348
39.551,17.578,-1.953,4.395,6.836
37.598,20.508,5.371,0.488,17.09
37.598,20.508,-0.977,-2.93,8.789
48.828,20.02,0.977,0.488,-51.758
55.176,21.484,4.395,10.254,-13.672
40.527,20.996,-4.395,12.207,-14.16
29.785,18.066,-7.324,5.371,16.113
29.785,16.113,-5.859,-2.93,25.391
41.016,15.625,3.418,1.953,13.184
50.293,14.16,14.648,17.09,49.316
38.574,10.254,11.23,19.043,33.691
25.879,7.812,0,7.812,1.953
26.855,6.836,8.789,-0.977,14.16
41.992,10.254,35.645,3.418,65.43
51.27,11.719,26.855,17.578,40.527
42.48,7.324,4.395,20.508,46.875
36.621,11.719,10.254,13.184,84.961
36.621,18.066,15.625,10.254,34.18
51.27,19.043,20.02,11.719,-16.602
65.918,18.555,23.926,19.043,-19.043
57.617,17.09,25.391,23.926,25.879
48.34,14.16,23.926,22.949,40.527
47.852,13.672,8.301,16.113,12.207
56.152,14.648,4.395,11.23,29.297
64.941,12.695,16.113,15.625,28.32
55.664,11.719,15.137,13.184,33.203
49.805,14.648,21.973,10.742,37.598
44.434,17.578,25.879,5.859,32.715
45.41,14.648,18.066,3.906,1.465
60.547,11.719,21.484,13.184,-5.859
58.594,15.137,20.508,18.555,57.617
45.41,16.602,10.254,12.207,35.645
32.227,14.16,6.348,-1.953,36.621
34.18,17.09,17.09,2.441,28.809
48.828,19.043,30.762,15.137,-62.988
40.039,15.625,23.926,9.277,-47.852
26.367,14.16,29.297,0.488,20.02
21.973,13.672,39.551,-2.441,0.488
28.32,10.254,39.551,1.953,-23.926
49.805,12.207,55.664,24.902,20.02
54.199,17.09,45.898,25.879,73.73
33.203,19.531,28.809,2.441,72.754
16.113,17.09,25.391,-16.113,30.762
27.832,15.137,22.461,-16.113,37.109
43.457,20.508,25.391,-10.254,67.383
40.527,20.508,17.09,-13.184,23.926
36.621,20.996,15.625,-9.277,16.113
31.25,24.414,12.695,-10.742,-8.789
32.715,26.367,7.812,-18.066,-16.602
48.828,29.297,19.043,-20.508,23.438
58.594,32.715,9.766,-11.719,8.301
53.711,33.203,-0.488,-8.301,13.184
42.48,35.156,9.277,-15.625,33.203
37.109,35.156,7.324,-21.973,45.898
50.293,32.715,11.23,-21.973,44.922
58.594,31.25,12.695,-10.254,-18.066
45.898,30.273,5.371,-9.277,-52.734
30.762,29.297,11.719,-15.625,-46.875
26.855,26.367,8.789,-16.602,-3.906
37.598,22.461,12.207,-15.625,58.105
50.293,22.949,25.391,-3.418,44.434
42.969,20.996,16.602,1.465,38.086
31.738,19.043,11.719,-4.395,40.039
21.973,20.996,4.883,-12.207,30.762
30.762,18.555,4.883,-11.719,49.316
47.852,19.531,12.207,-1.465,-11.719
40.039,20.996,12.207,-0.977,2.441
31.738,20.02,9.766,-0.977,44.922
27.832,19.043,0.977,-5.859,38.086
37.598,18.555,2.441,-14.16,30.762
56.152,23.438,13.184,-3.906,6.348
55.176,22.949,19.531,4.883,19.531
