TP9,AF7,AF8,TP10,Right AUX
-14.648,28.809,33.203,0,58.594
-9.277,27.344,29.297,-0.488,36.133
-11.719,28.32,28.32,0,18.066
-15.625,28.809,32.227,6.836,26.855
-10.254,28.809,27.832,4.883,38.086
-4.883,26.367,28.32,0.488,58.594
-4.395,24.414,33.203,4.395,0.977
-12.207,24.902,29.297,1.953,-27.344
-16.113,25.391,28.809,-3.418,21.973
-11.719,24.902,33.203,-0.488,17.578
-6.348,23.926,30.273,0.488,14.648
-3.418,21.484,30.273,3.418,15.625
1.465,20.996,31.738,8.789,81.055
5.859,21.484,28.809,10.742,113.281
8.301,21.484,27.344,13.184,56.152
12.207,21.973,29.785,14.648,41.992
18.555,23.926,33.203,19.531,52.734
22.949,25.879,34.18,24.902,41.504
21.484,26.367,33.203,21.484,4.395
17.578,25.391,33.691,20.02,27.344
13.672,25.391,34.668,18.066,64.941
11.23,25.391,34.668,13.184,67.871
9.766,26.855,30.762,15.137,40.527
8.789,23.926,27.344,14.648,16.113
11.23,22.949,32.715,9.766,35.156
11.719,25.391,36.133,12.695,-6.836
6.348,25.391,30.273,10.742,-8.301
5.371,24.414,27.832,8.789,32.715
4.395,20.996,29.785,8.789,30.762
2.441,20.996,29.785,0.977,67.871
-1.465,21.484,29.297,-0.977,134.766
-4.883,19.531,28.809,-1.953,127.441
-1.465,19.531,28.809,2.441,47.852
1.465,20.996,31.738,9.766,49.805
0.488,21.484,34.668,14.16,87.891
1.465,21.973,33.691,17.578,68.359
-1.953,20.508,31.25,16.602,67.871
-4.395,19.043,29.785,17.09,51.27
-4.395,21.973,31.25,15.625,24.414
0.977,23.926,37.109,16.113,2.93
5.371,22.949,41.016,20.02,67.871
11.719,23.926,38.574,24.414,59.57
23.926,23.926,34.18,25.879,-7.324
23.926,26.367,36.133,25.879,10.254
21.484,27.832,38.574,27.344,0.977
26.367,27.832,35.645,27.344,-29.785
31.738,29.785,31.25,21.484,-30.273
33.691,30.273,30.273,18.066,-11.23
33.203,28.809,27.344,19.531,27.832
31.25,27.832,23.926,13.672,20.02
27.832,28.809,26.855,12.207,34.668
25.879,27.832,28.809,17.09,11.719
26.855,26.855,29.785,20.02,-47.363
20.996,27.832,30.273,17.578,33.203
11.23,27.832,31.25,11.719,105.957
10.254,26.855,30.273,10.742,48.34
8.301,27.344,29.785,12.207,-19.043
-0.977,28.32,28.32,10.254,-20.996
-6.348,27.344,22.949,3.906,32.715
-5.371,26.367,24.902,0.977,70.312
-3.418,26.855,27.832,7.812,58.594
1.953,30.273,24.902,9.277,-19.531
0,31.738,26.855,7.812,-88.379
-7.324,25.879,26.855,10.742,-11.719
-3.418,23.926,24.414,13.672,60.547
1.953,28.32,22.949,12.207,41.992
4.395,27.832,22.949,20.02,37.109
5.371,23.926,23.926,23.926,21.484
7.812,22.949,21.484,17.578,18.066
10.254,23.926,19.531,16.113,41.992
10.254,24.414,20.02,16.602,43.457
8.789,23.438,19.043,19.043,45.898
9.766,24.414,20.996,20.508,43.457
16.113,25.391,20.02,22.461,32.715
23.438,24.902,18.066,23.926,17.09
24.902,27.832,22.461,23.438,38.574
25.391,30.273,21.973,23.438,-6.348
23.438,28.32,21.484,23.926,-13.184
20.02,28.32,23.926,24.902,13.672
18.066,27.832,23.438,24.414,34.668
12.695,25.879,24.902,20.02,41.992
10.742,21.973,26.367,21.484,-27.832
8.789,21.484,27.344,22.949,-37.109
5.859,23.926,26.367,14.16,-27.344
1.465,22.949,25.879,5.859,55.664
-1.953,20.02,25.391,6.348,105.957
-5.859,20.508,23.438,6.348,59.082
-8.789,22.949,23.438,4.395,95.703
-6.836,22.461,21.973,5.371,30.273
-6.348,21.973,19.531,4.395,-12.207
-7.324,23.438,22.949,4.395,5.371
-8.789,23.438,23.926,3.418,-36.133
-11.719,22.461,27.832,4.395,-20.996
-3.418,21.973,31.738,7.324,9.277
-0.488,22.949,29.297,12.695,49.805
-0.977,23.926,26.855,12.695,15.625
0.488,20.02,26.855,7.812,-22.949
-1.465,17.578,22.949,6.348,14.648
8.301,19.043,22.461,17.09,-4.395
10.254,21.973,20.508,20.996,-24.414
5.859,24.414,18.555,17.09,-21.973
10.254,25.391,21.484,20.508,21.484
16.113,26.367,22.461,23.926,53.223
14.648,24.902,20.02,20.996,30.273
17.09,22.461,20.02,22.461,52.246
17.578,21.973,20.02,19.043,43.457
18.066,22.949,24.902,14.16,-5.859
17.578,23.438,25.391,13.184,-42.969
8.789,22.461,21.484,7.812,-14.648
6.348,22.949,22.461,5.371,63.965
1.953,20.508,24.414,3.906,20.02
-1.953,20.996,21.973,-0.488,-13.672
0,24.414,20.02,-0.977,84.961
1.953,24.902,23.438,0.977,109.863
-1.465,22.949,21.973,-2.93,41.992
-8.789,22.461,20.508,-0.488,-7.324
-12.695,18.066,23.438,-1.953,-30.762
-14.16,16.602,25.391,1.465,21.484
-17.09,16.113,27.344,4.883,100.098
-19.043,15.137,25.391,-2.93,60.547
-20.02,17.09,25.391,0.977,22.949
-17.578,16.113,28.809,8.301,27.832
-15.137,13.184,27.832,13.672,77.637
-18.066,14.16,24.902,13.184,72.754
-9.766,15.625,22.949,11.719,-34.668
-8.789,16.602,24.414,14.648,-13.672
-7.812,19.531,24.414,13.672,41.992
0.488,21.973,24.902,13.672,57.617
6.348,25.879,25.879,19.531,32.227
16.113,25.879,25.391,21.484,31.738
17.09,26.367,21.973,19.531,41.016
10.742,26.855,25.391,19.043,44.434
12.207,27.832,27.832,24.414,41.504
17.09,27.344,26.367,22.949,25.879
18.555,26.367,23.926,15.625,29.785
13.672,27.344,21.973,12.695,45.898
12.695,28.32,23.438,14.648,10.254
15.625,29.785,26.367,18.066,5.371
13.672,31.25,24.414,13.672,-3.418
7.812,25.879,22.949,8.301,-62.012
3.906,23.926,25.879,10.254,24.414
-3.418,25.391,25.879,7.324,29.785
-12.207,22.949,25.391,2.441,-14.648
-14.16,22.461,26.855,2.93,76.66
-17.578,22.949,28.32,-0.488,51.758
-20.508,21.973,26.367,-7.812,-19.043
-21.484,18.066,25.391,-8.789,-12.207
-24.414,15.625,24.414,-8.301,-33.203
-23.926,18.555,23.438,-4.883,-17.09
-20.02,20.508,28.809,-5.859,15.137
-14.16,19.043,28.32,-6.348,-4.395
-10.254,19.043,24.902,-0.488,62.012
-10.742,21.484,26.855,0.488,75.684
-7.324,21.973,29.297,4.395,74.219
-1.465,20.996,32.227,12.695,91.797
2.93,21.484,29.297,19.531,10.742
5.859,21.973,27.344,26.367,-49.805
10.742,22.461,29.785,25.879,39.551
14.648,21.484,27.832,23.438,62.012
15.625,23.438,25.879,22.461,4.883
20.508,28.32,21.973,21.973,-6.836
20.02,28.32,20.02,27.344,-51.27
16.113,27.344,21.973,22.949,-18.555
19.531,28.809,21.484,21.973,-4.883
20.996,23.926,20.996,21.973,-53.711
18.066,21.973,20.02,10.742,-3.418
12.695,23.438,20.508,5.371,-7.812
7.324,21.484,21.973,5.859,11.23
4.883,20.508,22.461,3.906,56.641
4.883,20.02,22.949,3.418,28.809
5.859,21.484,24.414,5.371,19.531
3.418,22.461,24.902,1.465,57.129
-2.93,23.926,25.879,0.977,43.945
-9.766,20.996,28.32,0.977,37.598
-9.766,17.09,28.32,-7.324,33.203
-8.301,18.066,25.391,-8.789,-16.602
-13.184,19.531,22.461,-4.883,-32.227
-12.695,19.043,23.926,-3.906,46.387
-9.277,20.996,25.391,-4.883,62.988
-7.324,22.461,28.809,-0.977,-24.902
-3.418,20.996,32.715,6.836,-57.129
-2.93,19.531,33.203,12.207,41.504
-5.371,19.043,31.738,16.602,25.391
-2.93,14.648,31.25,16.113,-10.254
2.441,15.137,30.273,20.02,46.387
8.789,18.555,26.855,22.949,11.719
7.812,17.578,26.855,19.043,2.441
7.324,18.066,31.25,22.461,33.691
13.184,20.996,29.785,26.367,11.719
18.066,23.438,27.832,21.973,-10.742
18.555,23.438,27.832,15.137,7.812
20.02,27.832,27.344,17.578,55.176
20.02,26.855,31.738,21.973,56.152
12.207,20.508,30.762,19.043,18.555
8.789,21.973,28.32,16.113,33.203
9.277,24.414,29.785,12.207,23.438
8.789,20.996,28.809,11.23,47.852
4.395,19.531,28.809,7.812,47.363
-7.324,20.02,27.832,-0.488,-0.977
-10.254,17.578,27.832,-1.465,19.043
-5.859,15.625,30.762,0.488,20.996
-6.348,14.648,28.809,4.395,76.172
-4.395,15.625,26.855,0.977,95.703
-8.789,16.113,31.738,-3.418,11.23
-16.113,16.113,32.227,-5.371,-0.488
-15.137,17.578,27.832,-6.348,36.133
-8.301,20.02,27.344,2.93,1.953
-6.348,20.02,31.25,10.254,14.648
-9.277,20.996,32.227,5.859,39.551
-2.93,24.414,32.715,12.695,15.625
2.441,21.973,34.18,20.02,102.051
4.395,19.531,31.738,18.555,55.664
4.395,20.02,29.785,23.926,-9.766
7.812,20.996,30.762,25.391,39.551
17.578,22.461,31.738,23.926,8.301
21.484,23.438,31.738,25.391,26.855
22.461,23.926,28.32,21.973,44.434
21.484,20.996,28.32,21.973,48.34
22.461,20.02,31.738,23.926,9.766
27.344,20.996,30.273,22.949,-11.719
27.344,21.484,28.809,19.531,34.668
20.996,20.02,29.785,15.625,19.531
20.02,19.531,28.32,14.648,13.184
15.625,20.508,29.297,11.719,14.648
11.23,20.02,33.203,10.742,83.008
13.672,20.996,30.762,13.672,73.242
14.16,24.414,32.715,12.207,14.16
6.836,22.461,33.203,9.766,-5.859
0.977,20.508,32.715,3.906,-36.133
0.977,19.531,36.133,-0.977,-15.625
-3.906,18.555,35.156,0.488,-3.906
-2.93,20.996,32.227,5.371,-53.223
-3.418,18.555,32.715,4.395,-50.781
-11.719,17.09,32.715,-2.441,34.18
-10.742,18.555,33.691,2.93,38.574
-1.465,20.996,34.18,13.184,-16.602
4.395,19.531,34.668,18.555,-64.941
4.883,19.043,34.668,19.531,-12.207
8.789,21.484,30.762,16.602,4.395
8.789,23.926,34.18,16.113,-8.301
8.301,23.926,38.086,20.996,39.062
10.742,20.996,33.691,24.902,-14.648
10.742,18.066,29.785,18.555,0.488
20.02,17.09,29.297,18.066,39.551
25.391,16.602,30.762,20.508,21.973
17.09,19.531,30.762,22.949,82.52
11.719,22.949,31.25,25.391,76.66
15.137,20.508,28.32,21.484,8.789
19.531,20.508,25.391,19.531,-35.645
18.066,21.484,28.32,17.578,-22.461
13.672,21.484,29.785,14.648,51.27
10.742,23.438,28.32,14.16,31.25
9.766,20.508,31.25,13.184,8.301
9.277,18.555,33.691,14.648,17.578
10.254,17.578,32.715,16.113,-23.926
10.254,17.09,33.203,14.16,27.832
4.883,16.602,33.203,11.23,61.035
3.418,16.602,30.762,6.348,75.684
3.418,12.695,26.367,1.465,38.086
2.93,11.23,27.344,0,-21.484
8.789,16.113,27.832,3.418,3.906
9.277,19.531,25.879,0,14.16
8.301,24.414,22.949,-8.789,28.32
10.742,25.391,18.555,-8.789,42.48
8.301,24.902,18.066,-2.93,41.992
6.348,23.926,19.043,0.977,71.777
3.906,21.484,19.531,1.953,24.902
2.93,20.02,23.926,8.301,-28.809
5.859,19.531,23.926,12.695,22.949
5.859,20.996,20.996,10.742,70.801
2.441,20.996,23.926,16.113,48.828
6.836,22.461,22.461,19.531,-38.086
10.254,22.461,22.461,19.531,42.48
9.277,21.973,24.902,15.137,79.102
11.719,21.973,22.461,11.719,-3.418
11.719,20.02,23.926,16.113,19.043
13.184,19.531,24.414,14.16,71.289
12.695,19.531,27.344,13.672,32.227
12.207,20.02,26.367,15.625,-28.32
14.648,22.949,24.414,9.766,-113.281
8.789,23.438,24.414,3.418,-109.375
5.859,24.902,20.02,3.906,-28.32
7.812,23.926,19.043,10.742,-36.621
6.348,23.438,19.531,11.23,-29.297
2.93,22.949,18.555,0.977,-22.461
1.953,20.02,21.484,-1.953,-33.691
1.465,22.461,24.902,3.906,33.203
3.418,24.902,27.344,5.371,128.906
9.277,22.949,23.926,2.93,115.234
9.277,25.391,19.531,1.953,33.691
9.277,26.367,21.484,3.906,12.207
10.254,21.484,26.367,8.789,39.551
11.719,19.043,29.785,10.254,63.477
10.254,20.02,30.273,12.207,63.965
11.23,22.949,32.227,16.602,20.996
14.16,23.926,36.621,16.602,16.602
16.113,23.926,35.645,16.113,40.039
16.602,22.949,32.715,16.113,44.434
19.043,22.461,30.762,16.602,41.016
18.066,22.461,28.32,19.043,5.859
13.672,22.461,30.762,18.555,39.062
15.137,25.391,31.25,13.184,51.27
22.949,26.855,27.344,10.742,47.852
25.879,25.391,24.902,17.09,38.574
27.344,23.438,27.832,16.602,72.266
24.414,20.996,29.785,14.16,85.938
22.949,19.043,27.832,13.672,-2.441
22.949,19.043,29.297,11.23,1.953
14.648,21.973,32.227,8.789,61.035
7.812,21.484,29.297,4.883,12.695
11.719,19.531,25.879,3.418,-27.832
13.672,21.973,26.855,4.883,44.434
8.301,21.484,25.391,5.371,37.598
6.348,20.508,24.902,5.371,23.926
4.395,21.484,25.879,5.859,56.641
2.93,20.02,26.855,4.883,82.031
1.953,20.996,29.785,2.93,102.539
6.836,21.973,29.297,4.883,65.43
11.23,19.531,29.297,9.277,5.371
7.324,18.066,30.762,16.602,-38.086
4.883,19.043,33.203,20.508,-19.531
7.812,25.879,34.668,17.578,19.043
14.16,29.297,32.227,22.461,2.93
17.09,25.879,36.621,26.855,8.789
14.648,24.902,36.621,25.879,-11.719
12.207,24.414,28.32,21.484,-12.207
10.742,25.879,28.809,21.484,49.316
14.16,30.762,32.227,25.879,29.297
18.555,32.227,31.738,25.391,10.254
20.996,30.273,28.809,20.996,23.438
25.391,31.738,30.273,24.902,25.879
23.438,33.203,31.25,28.32,30.273
19.531,30.273,31.25,19.531,44.922
23.926,30.762,34.18,16.113,-0.977
25.391,32.227,35.156,18.555,-12.207
15.625,30.273,33.691,12.695,67.871
13.184,30.762,34.18,10.742,67.383
16.602,29.785,33.691,14.16,36.133
8.301,27.832,32.715,12.207,28.32
2.441,27.344,33.203,8.789,23.438
6.836,27.832,33.691,9.766,36.133
8.789,26.367,34.668,12.207,42.969
6.348,24.414,33.203,7.812,9.277
4.883,23.926,32.715,3.418,40.039
12.207,22.949,34.18,8.301,37.598
16.113,23.926,33.691,9.766,-25.391
